
============================================================
DATA DISTRIBUTION CHECK
============================================================
Train sample - Features: shape=torch.Size([24, 100]), mean=-0.0419, std=0.4582
Train sample - Targets:  shape=torch.Size([1, 100]), mean=-2.0562, std=0.0233
Val sample   - Features: shape=torch.Size([24, 100]), mean=0.0291, std=0.4026
Val sample   - Targets:  shape=torch.Size([1, 100]), mean=-2.0665, std=0.0047
============================================================
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)


============================================================
Epoch 1/30
============================================================
Training:
  [Epoch 1, Batch 10/1337] Loss: 3.748348, R2: -153.4942
  [Epoch 1, Batch 20/1337] Loss: 5.688727, R2: -345.4868
  [Epoch 1, Batch 30/1337] Loss: 2.618460, R2: -744.9879
  [Epoch 1, Batch 40/1337] Loss: 1.971990, R2: -102.7251
  [Epoch 1, Batch 50/1337] Loss: 1.845344, R2: -144.1263
  [Epoch 1, Batch 60/1337] Loss: 1.388511, R2: -160.2056
  [Epoch 1, Batch 70/1337] Loss: 1.282747, R2: -258.5762
  [Epoch 1, Batch 80/1337] Loss: 1.208296, R2: -401.4386
  [Epoch 1, Batch 90/1337] Loss: 1.204314, R2: -95.0837
  [Epoch 1, Batch 100/1337] Loss: 1.786803, R2: -357.3445
  [Epoch 1, Batch 110/1337] Loss: 0.821431, R2: -173.6140
  [Epoch 1, Batch 120/1337] Loss: 0.770398, R2: -156.2737
  [Epoch 1, Batch 130/1337] Loss: 0.939517, R2: -183.8100
  [Epoch 1, Batch 140/1337] Loss: 0.887981, R2: -39.7180
  [Epoch 1, Batch 150/1337] Loss: 0.965064, R2: -100.1478
  [Epoch 1, Batch 160/1337] Loss: 0.725994, R2: -289.5569
  [Epoch 1, Batch 170/1337] Loss: 0.532360, R2: -39.7042
  [Epoch 1, Batch 180/1337] Loss: 0.737964, R2: -81.8525
  [Epoch 1, Batch 190/1337] Loss: 0.485948, R2: -185.5051
  [Epoch 1, Batch 200/1337] Loss: 0.788473, R2: -336.5199
  [Epoch 1, Batch 210/1337] Loss: 1.044189, R2: -54.0970
  [Epoch 1, Batch 220/1337] Loss: 0.651019, R2: -91.7878
  [Epoch 1, Batch 230/1337] Loss: 0.576205, R2: -171.7630
  [Epoch 1, Batch 240/1337] Loss: 0.718007, R2: -160.4846
  [Epoch 1, Batch 250/1337] Loss: 0.445462, R2: -228.4276
  [Epoch 1, Batch 260/1337] Loss: 0.511244, R2: -32.2639
  [Epoch 1, Batch 270/1337] Loss: 0.641790, R2: -279.1446
  [Epoch 1, Batch 280/1337] Loss: 0.513935, R2: -105.3675
  [Epoch 1, Batch 290/1337] Loss: 0.526267, R2: -423.6678
  [Epoch 1, Batch 300/1337] Loss: 0.466913, R2: -215.8022
  [Epoch 1, Batch 310/1337] Loss: 0.521941, R2: -152.6369
  [Epoch 1, Batch 320/1337] Loss: 0.533860, R2: -309.8398
  [Epoch 1, Batch 330/1337] Loss: 0.428704, R2: -51.0589
  [Epoch 1, Batch 340/1337] Loss: 0.380938, R2: -27.0201
