/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 1 | Batch 10/1337] Loss: 5.499310
[Epoch 1 | Batch 20/1337] Loss: 4.353524
[Epoch 1 | Batch 30/1337] Loss: 2.469932
[Epoch 1 | Batch 40/1337] Loss: 1.989525
[Epoch 1 | Batch 50/1337] Loss: 0.686005
[Epoch 1 | Batch 60/1337] Loss: 1.253902
[Epoch 1 | Batch 70/1337] Loss: 1.033573
[Epoch 1 | Batch 80/1337] Loss: 1.109755
[Epoch 1 | Batch 90/1337] Loss: 1.003175
[Epoch 1 | Batch 100/1337] Loss: 1.050527
[Epoch 1 | Batch 110/1337] Loss: 0.760295
[Epoch 1 | Batch 120/1337] Loss: 0.704492
[Epoch 1 | Batch 130/1337] Loss: 0.657455
[Epoch 1 | Batch 140/1337] Loss: 0.558522
[Epoch 1 | Batch 150/1337] Loss: 0.973862
[Epoch 1 | Batch 160/1337] Loss: 0.937566
[Epoch 1 | Batch 170/1337] Loss: 0.796558
[Epoch 1 | Batch 180/1337] Loss: 0.661180
[Epoch 1 | Batch 190/1337] Loss: 0.595232
[Epoch 1 | Batch 200/1337] Loss: 0.669410
[Epoch 1 | Batch 210/1337] Loss: 0.544379
[Epoch 1 | Batch 220/1337] Loss: 0.461877
[Epoch 1 | Batch 230/1337] Loss: 0.457059
[Epoch 1 | Batch 240/1337] Loss: 0.533696
[Epoch 1 | Batch 250/1337] Loss: 0.441532
[Epoch 1 | Batch 260/1337] Loss: 0.501431
[Epoch 1 | Batch 270/1337] Loss: 0.382325
[Epoch 1 | Batch 280/1337] Loss: 0.458851
[Epoch 1 | Batch 290/1337] Loss: 0.440353
[Epoch 1 | Batch 300/1337] Loss: 0.450934
[Epoch 1 | Batch 310/1337] Loss: 0.332581
[Epoch 1 | Batch 320/1337] Loss: 0.373839
[Epoch 1 | Batch 330/1337] Loss: 0.433752
[Epoch 1 | Batch 340/1337] Loss: 0.491894
[Epoch 1 | Batch 350/1337] Loss: 0.336604
[Epoch 1 | Batch 360/1337] Loss: 0.266464
[Epoch 1 | Batch 370/1337] Loss: 0.587175
[Epoch 1 | Batch 380/1337] Loss: 0.627798
[Epoch 1 | Batch 390/1337] Loss: 0.385249
[Epoch 1 | Batch 400/1337] Loss: 0.394463
[Epoch 1 | Batch 410/1337] Loss: 0.355051
[Epoch 1 | Batch 420/1337] Loss: 0.312306
[Epoch 1 | Batch 430/1337] Loss: 0.366121
