/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 1 | Batch 10/1337] Loss: 709.112976
[Epoch 1 | Batch 20/1337] Loss: 462.499481
[Epoch 1 | Batch 30/1337] Loss: 424.542328
[Epoch 1 | Batch 40/1337] Loss: 298.055359
[Epoch 1 | Batch 50/1337] Loss: 219.926407
[Epoch 1 | Batch 60/1337] Loss: 170.038086
[Epoch 1 | Batch 70/1337] Loss: 171.068817
[Epoch 1 | Batch 80/1337] Loss: 150.722809
[Epoch 1 | Batch 90/1337] Loss: 116.731071
[Epoch 1 | Batch 100/1337] Loss: 111.898415
[Epoch 1 | Batch 110/1337] Loss: 106.968224
[Epoch 1 | Batch 120/1337] Loss: 102.249428
[Epoch 1 | Batch 130/1337] Loss: 93.975983
[Epoch 1 | Batch 140/1337] Loss: 107.954155
[Epoch 1 | Batch 150/1337] Loss: 82.877579
[Epoch 1 | Batch 160/1337] Loss: 60.521938
[Epoch 1 | Batch 170/1337] Loss: 92.807022
[Epoch 1 | Batch 180/1337] Loss: 60.391289
[Epoch 1 | Batch 190/1337] Loss: 58.128445
[Epoch 1 | Batch 200/1337] Loss: 62.025913
[Epoch 1 | Batch 210/1337] Loss: 75.012978
[Epoch 1 | Batch 220/1337] Loss: 80.036835
[Epoch 1 | Batch 230/1337] Loss: 73.149117
[Epoch 1 | Batch 240/1337] Loss: 61.173515
[Epoch 1 | Batch 250/1337] Loss: 69.155640
[Epoch 1 | Batch 260/1337] Loss: 64.293701
[Epoch 1 | Batch 270/1337] Loss: 54.415485
[Epoch 1 | Batch 280/1337] Loss: 47.087704
[Epoch 1 | Batch 290/1337] Loss: 65.913933
[Epoch 1 | Batch 300/1337] Loss: 51.471985
[Epoch 1 | Batch 310/1337] Loss: 41.971336
[Epoch 1 | Batch 320/1337] Loss: 46.060497
[Epoch 1 | Batch 330/1337] Loss: 45.895340
[Epoch 1 | Batch 340/1337] Loss: 61.028744
[Epoch 1 | Batch 350/1337] Loss: 48.449978
[Epoch 1 | Batch 360/1337] Loss: 53.904716
[Epoch 1 | Batch 370/1337] Loss: 56.690884
[Epoch 1 | Batch 380/1337] Loss: 32.992363
[Epoch 1 | Batch 390/1337] Loss: 65.137939
[Epoch 1 | Batch 400/1337] Loss: 37.689026
[Epoch 1 | Batch 410/1337] Loss: 35.257950
[Epoch 1 | Batch 420/1337] Loss: 49.862713
[Epoch 1 | Batch 430/1337] Loss: 29.075903
[Epoch 1 | Batch 440/1337] Loss: 60.442074
[Epoch 1 | Batch 450/1337] Loss: 48.943115
[Epoch 1 | Batch 460/1337] Loss: 46.712841
[Epoch 1 | Batch 470/1337] Loss: 40.741394
[Epoch 1 | Batch 480/1337] Loss: 45.476612
[Epoch 1 | Batch 490/1337] Loss: 33.617313
[Epoch 1 | Batch 500/1337] Loss: 39.040707
[Epoch 1 | Batch 510/1337] Loss: 49.370743
[Epoch 1 | Batch 520/1337] Loss: 37.154854
[Epoch 1 | Batch 530/1337] Loss: 42.828896
[Epoch 1 | Batch 540/1337] Loss: 32.721340
[Epoch 1 | Batch 550/1337] Loss: 36.398300
[Epoch 1 | Batch 560/1337] Loss: 33.194355
[Epoch 1 | Batch 570/1337] Loss: 31.437153
[Epoch 1 | Batch 580/1337] Loss: 30.488287
[Epoch 1 | Batch 590/1337] Loss: 31.667913
[Epoch 1 | Batch 600/1337] Loss: 53.486397
[Epoch 1 | Batch 610/1337] Loss: 60.095741
