/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

Epoch 1/6
[Epoch 1 | Batch 10/1337] Loss: 1.167262
[Epoch 1 | Batch 20/1337] Loss: 0.380637
[Epoch 1 | Batch 30/1337] Loss: 0.370778
[Epoch 1 | Batch 40/1337] Loss: 0.423275
[Epoch 1 | Batch 50/1337] Loss: 0.310715
[Epoch 1 | Batch 60/1337] Loss: 0.219008
[Epoch 1 | Batch 70/1337] Loss: 0.160986
[Epoch 1 | Batch 80/1337] Loss: 0.193500
[Epoch 1 | Batch 90/1337] Loss: 0.204380
[Epoch 1 | Batch 100/1337] Loss: 0.154864
[Epoch 1 | Batch 110/1337] Loss: 0.170711
[Epoch 1 | Batch 120/1337] Loss: 0.199064
[Epoch 1 | Batch 130/1337] Loss: 0.100427
[Epoch 1 | Batch 140/1337] Loss: 0.153468
[Epoch 1 | Batch 150/1337] Loss: 0.108562
[Epoch 1 | Batch 160/1337] Loss: 0.099741
[Epoch 1 | Batch 170/1337] Loss: 0.112603
[Epoch 1 | Batch 180/1337] Loss: 0.129271
[Epoch 1 | Batch 190/1337] Loss: 0.073715
[Epoch 1 | Batch 200/1337] Loss: 0.094036
[Epoch 1 | Batch 210/1337] Loss: 0.146067
[Epoch 1 | Batch 220/1337] Loss: 0.108859
[Epoch 1 | Batch 230/1337] Loss: 0.117950
[Epoch 1 | Batch 240/1337] Loss: 0.081883
[Epoch 1 | Batch 250/1337] Loss: 0.131119
[Epoch 1 | Batch 260/1337] Loss: 0.068507
[Epoch 1 | Batch 270/1337] Loss: 0.147950
[Epoch 1 | Batch 280/1337] Loss: 0.091863
[Epoch 1 | Batch 290/1337] Loss: 0.102139
[Epoch 1 | Batch 300/1337] Loss: 0.095130
[Epoch 1 | Batch 310/1337] Loss: 0.074228
[Epoch 1 | Batch 320/1337] Loss: 0.098155
[Epoch 1 | Batch 330/1337] Loss: 0.102274
[Epoch 1 | Batch 340/1337] Loss: 0.094831
[Epoch 1 | Batch 350/1337] Loss: 0.108795
[Epoch 1 | Batch 360/1337] Loss: 0.069931
[Epoch 1 | Batch 370/1337] Loss: 0.066553
[Epoch 1 | Batch 380/1337] Loss: 0.052951
[Epoch 1 | Batch 390/1337] Loss: 0.049868
[Epoch 1 | Batch 400/1337] Loss: 0.066371
[Epoch 1 | Batch 410/1337] Loss: 0.064768
[Epoch 1 | Batch 420/1337] Loss: 0.070777
[Epoch 1 | Batch 430/1337] Loss: 0.085668
[Epoch 1 | Batch 440/1337] Loss: 0.080893
[Epoch 1 | Batch 450/1337] Loss: 0.065011
[Epoch 1 | Batch 460/1337] Loss: 0.089071
[Epoch 1 | Batch 470/1337] Loss: 0.070696
[Epoch 1 | Batch 480/1337] Loss: 0.044461
[Epoch 1 | Batch 490/1337] Loss: 0.062912
[Epoch 1 | Batch 500/1337] Loss: 0.061308
[Epoch 1 | Batch 510/1337] Loss: 0.090917
[Epoch 1 | Batch 520/1337] Loss: 0.060969
[Epoch 1 | Batch 530/1337] Loss: 0.061588
[Epoch 1 | Batch 540/1337] Loss: 0.063931
[Epoch 1 | Batch 550/1337] Loss: 0.072824
[Epoch 1 | Batch 560/1337] Loss: 0.064169
[Epoch 1 | Batch 570/1337] Loss: 0.045717
[Epoch 1 | Batch 580/1337] Loss: 0.047385
[Epoch 1 | Batch 590/1337] Loss: 0.052389
[Epoch 1 | Batch 600/1337] Loss: 0.076364
[Epoch 1 | Batch 610/1337] Loss: 0.043070
[Epoch 1 | Batch 620/1337] Loss: 0.058465
[Epoch 1 | Batch 630/1337] Loss: 0.037337
