[TRAIN] Assigned 6 trials from 8 total.
    First trial: AB06_treadmill_01_01_features.csv
[VAL] Assigned 1 trials from 8 total.
    First trial: AB06_treadmill_07_01_features.csv
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

--- Epoch 1/6 ---
Epoch 1 [10/267] Loss: 0.289771
Epoch 1 [20/267] Loss: 0.119227
Epoch 1 [30/267] Loss: 0.080315
Epoch 1 [40/267] Loss: 0.050659
Epoch 1 [50/267] Loss: 0.038451
Epoch 1 [60/267] Loss: 0.031743
Epoch 1 [70/267] Loss: 0.032540
Epoch 1 [80/267] Loss: 0.029142
Epoch 1 [90/267] Loss: 0.027496
Epoch 1 [100/267] Loss: 0.024342
Epoch 1 [110/267] Loss: 0.023502
Epoch 1 [120/267] Loss: 0.023682
Epoch 1 [130/267] Loss: 0.021143
Epoch 1 [140/267] Loss: 0.021815
Epoch 1 [150/267] Loss: 0.017374
Epoch 1 [160/267] Loss: 0.018251
Epoch 1 [170/267] Loss: 0.015099
Epoch 1 [180/267] Loss: 0.014098
Epoch 1 [190/267] Loss: 0.021585
Epoch 1 [200/267] Loss: 0.016155
Epoch 1 [210/267] Loss: 0.014741
Epoch 1 [220/267] Loss: 0.015664
Epoch 1 [230/267] Loss: 0.013989
Epoch 1 [240/267] Loss: 0.016019
Epoch 1 [250/267] Loss: 0.012964
Epoch 1 [260/267] Loss: 0.020687
Train Loss: 0.051075 | Val Loss: 0.008853 | Val RMSE: 0.091381
⭐ Best Model Saved

--- Epoch 2/6 ---
Epoch 2 [10/267] Loss: 0.014914
Epoch 2 [20/267] Loss: 0.011522
Epoch 2 [30/267] Loss: 0.013074
Epoch 2 [40/267] Loss: 0.013601
Epoch 2 [50/267] Loss: 0.010822
Epoch 2 [60/267] Loss: 0.008916
Epoch 2 [70/267] Loss: 0.010350
Epoch 2 [80/267] Loss: 0.011357
Epoch 2 [90/267] Loss: 0.008556
Epoch 2 [100/267] Loss: 0.009654
Epoch 2 [110/267] Loss: 0.009775
Epoch 2 [120/267] Loss: 0.012397
Epoch 2 [130/267] Loss: 0.009461
Epoch 2 [140/267] Loss: 0.008067
Epoch 2 [150/267] Loss: 0.008757
Epoch 2 [160/267] Loss: 0.009029
Epoch 2 [170/267] Loss: 0.009162
Epoch 2 [180/267] Loss: 0.008258
Epoch 2 [190/267] Loss: 0.010120
Epoch 2 [200/267] Loss: 0.012649
Epoch 2 [210/267] Loss: 0.008574
Epoch 2 [220/267] Loss: 0.010886
Epoch 2 [230/267] Loss: 0.008404
Epoch 2 [240/267] Loss: 0.010750
Epoch 2 [250/267] Loss: 0.006942
Epoch 2 [260/267] Loss: 0.007981
Train Loss: 0.010209 | Val Loss: 0.008550 | Val RMSE: 0.088977
⭐ Best Model Saved

--- Epoch 3/6 ---
Epoch 3 [10/267] Loss: 0.009725
Epoch 3 [20/267] Loss: 0.007698
Epoch 3 [30/267] Loss: 0.008365
Epoch 3 [40/267] Loss: 0.007558
Epoch 3 [50/267] Loss: 0.009884
Epoch 3 [60/267] Loss: 0.007678
Epoch 3 [70/267] Loss: 0.007159
Epoch 3 [80/267] Loss: 0.006947
Epoch 3 [90/267] Loss: 0.007937
