
──────────────────────────────────────────────────
Epoch 1/30  LR=1.00e-03
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 1 [20/1063]  loss=0.16548
  Epoch 1 [40/1063]  loss=0.05899
  Epoch 1 [60/1063]  loss=0.03627
  Epoch 1 [80/1063]  loss=0.05172
  Epoch 1 [100/1063]  loss=0.02530
  Epoch 1 [120/1063]  loss=0.03644
  Epoch 1 [140/1063]  loss=0.02172
  Epoch 1 [160/1063]  loss=0.02177
  Epoch 1 [180/1063]  loss=0.02327
  Epoch 1 [200/1063]  loss=0.02207
  Epoch 1 [220/1063]  loss=0.01654
  Epoch 1 [240/1063]  loss=0.01631
  Epoch 1 [260/1063]  loss=0.01543
  Epoch 1 [280/1063]  loss=0.01129
  Epoch 1 [300/1063]  loss=0.01865
  Epoch 1 [320/1063]  loss=0.00966
  Epoch 1 [340/1063]  loss=0.00933
  Epoch 1 [360/1063]  loss=0.01197
  Epoch 1 [380/1063]  loss=0.01074
  Epoch 1 [400/1063]  loss=0.01370
  Epoch 1 [420/1063]  loss=0.01019
  Epoch 1 [440/1063]  loss=0.01383
  Epoch 1 [460/1063]  loss=0.01199
  Epoch 1 [480/1063]  loss=0.00918
  Epoch 1 [500/1063]  loss=0.01240
  Epoch 1 [520/1063]  loss=0.01098
  Epoch 1 [540/1063]  loss=0.01156
  Epoch 1 [560/1063]  loss=0.01561
  Epoch 1 [580/1063]  loss=0.00955
  Epoch 1 [600/1063]  loss=0.00787
  Epoch 1 [620/1063]  loss=0.00800
  Epoch 1 [640/1063]  loss=0.00775
  Epoch 1 [660/1063]  loss=0.01041
  Epoch 1 [680/1063]  loss=0.00794
  Epoch 1 [700/1063]  loss=0.00822
  Epoch 1 [720/1063]  loss=0.01102
  Epoch 1 [740/1063]  loss=0.00965
  Epoch 1 [760/1063]  loss=0.00976
  Epoch 1 [780/1063]  loss=0.00774
  Epoch 1 [800/1063]  loss=0.00800
  Epoch 1 [820/1063]  loss=0.00727
  Epoch 1 [840/1063]  loss=0.00791
  Epoch 1 [860/1063]  loss=0.00700
  Epoch 1 [880/1063]  loss=0.00702
  Epoch 1 [900/1063]  loss=0.00824
  Epoch 1 [920/1063]  loss=0.01305
  Epoch 1 [940/1063]  loss=0.00713
  Epoch 1 [960/1063]  loss=0.00643
  Epoch 1 [980/1063]  loss=0.00689
  Epoch 1 [1000/1063]  loss=0.00561
  Epoch 1 [1020/1063]  loss=0.00617
  Epoch 1 [1040/1063]  loss=0.00562
  Epoch 1 [1060/1063]  loss=0.00626
  Train loss: 0.02015 | Val loss: 0.02587 | Val RMSE: 0.22247 | Val MAE: 0.15495
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 2/30  LR=9.97e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 2 [20/1063]  loss=0.00673
  Epoch 2 [40/1063]  loss=0.00646
  Epoch 2 [60/1063]  loss=0.00769
  Epoch 2 [80/1063]  loss=0.00698
  Epoch 2 [100/1063]  loss=0.00567
  Epoch 2 [120/1063]  loss=0.00618
  Epoch 2 [140/1063]  loss=0.00479
  Epoch 2 [160/1063]  loss=0.00600
  Epoch 2 [180/1063]  loss=0.00678
  Epoch 2 [200/1063]  loss=0.00410
  Epoch 2 [220/1063]  loss=0.00880
  Epoch 2 [240/1063]  loss=0.00769
  Epoch 2 [260/1063]  loss=0.00467
  Epoch 2 [280/1063]  loss=0.00535
  Epoch 2 [300/1063]  loss=0.00652
  Epoch 2 [320/1063]  loss=0.00628
  Epoch 2 [340/1063]  loss=0.00536
  Epoch 2 [360/1063]  loss=0.00572
  Epoch 2 [380/1063]  loss=0.00575
  Epoch 2 [400/1063]  loss=0.00684
  Epoch 2 [420/1063]  loss=0.00376
  Epoch 2 [440/1063]  loss=0.00494
  Epoch 2 [460/1063]  loss=0.00551
  Epoch 2 [480/1063]  loss=0.00418
  Epoch 2 [500/1063]  loss=0.00488
  Epoch 2 [520/1063]  loss=0.00358
  Epoch 2 [540/1063]  loss=0.00569
  Epoch 2 [560/1063]  loss=0.00593
  Epoch 2 [580/1063]  loss=0.00556
  Epoch 2 [600/1063]  loss=0.00521
  Epoch 2 [620/1063]  loss=0.00504
  Epoch 2 [640/1063]  loss=0.00326
  Epoch 2 [660/1063]  loss=0.00451
  Epoch 2 [680/1063]  loss=0.00462
  Epoch 2 [700/1063]  loss=0.00524
  Epoch 2 [720/1063]  loss=0.00492
  Epoch 2 [740/1063]  loss=0.00521
  Epoch 2 [760/1063]  loss=0.00573
  Epoch 2 [780/1063]  loss=0.00564
  Epoch 2 [800/1063]  loss=0.00397
  Epoch 2 [820/1063]  loss=0.00452
  Epoch 2 [840/1063]  loss=0.00386
  Epoch 2 [860/1063]  loss=0.00357
  Epoch 2 [880/1063]  loss=0.00369
  Epoch 2 [900/1063]  loss=0.00437
  Epoch 2 [920/1063]  loss=0.00610
  Epoch 2 [940/1063]  loss=0.00590
  Epoch 2 [960/1063]  loss=0.00447
  Epoch 2 [980/1063]  loss=0.00349
  Epoch 2 [1000/1063]  loss=0.00440
  Epoch 2 [1020/1063]  loss=0.00552
  Epoch 2 [1040/1063]  loss=0.00451
  Epoch 2 [1060/1063]  loss=0.00401
  Train loss: 0.00529 | Val loss: 0.02760 | Val RMSE: 0.23048 | Val MAE: 0.16021

──────────────────────────────────────────────────
Epoch 3/30  LR=9.90e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 3 [20/1063]  loss=0.00438
  Epoch 3 [40/1063]  loss=0.00362
  Epoch 3 [60/1063]  loss=0.00675
  Epoch 3 [80/1063]  loss=0.00483
  Epoch 3 [100/1063]  loss=0.00437
  Epoch 3 [120/1063]  loss=0.00469
  Epoch 3 [140/1063]  loss=0.00413
  Epoch 3 [160/1063]  loss=0.00394
  Epoch 3 [180/1063]  loss=0.00404
  Epoch 3 [200/1063]  loss=0.00385
  Epoch 3 [220/1063]  loss=0.00479
  Epoch 3 [240/1063]  loss=0.00704
  Epoch 3 [260/1063]  loss=0.00457
  Epoch 3 [280/1063]  loss=0.00399
  Epoch 3 [300/1063]  loss=0.00399
  Epoch 3 [320/1063]  loss=0.00383
  Epoch 3 [340/1063]  loss=0.00375
  Epoch 3 [360/1063]  loss=0.00702
  Epoch 3 [380/1063]  loss=0.00481
  Epoch 3 [400/1063]  loss=0.00475
  Epoch 3 [420/1063]  loss=0.00391
  Epoch 3 [440/1063]  loss=0.00349
  Epoch 3 [460/1063]  loss=0.00370
  Epoch 3 [480/1063]  loss=0.00293
  Epoch 3 [500/1063]  loss=0.00430
  Epoch 3 [520/1063]  loss=0.00402
  Epoch 3 [540/1063]  loss=0.00373
  Epoch 3 [560/1063]  loss=0.00300
  Epoch 3 [580/1063]  loss=0.00361
  Epoch 3 [600/1063]  loss=0.00383
  Epoch 3 [620/1063]  loss=0.00397
  Epoch 3 [640/1063]  loss=0.00312
  Epoch 3 [660/1063]  loss=0.00263
  Epoch 3 [680/1063]  loss=0.00312
  Epoch 3 [700/1063]  loss=0.00413
  Epoch 3 [720/1063]  loss=0.00395
  Epoch 3 [740/1063]  loss=0.00334
  Epoch 3 [760/1063]  loss=0.00351
  Epoch 3 [780/1063]  loss=0.00394
  Epoch 3 [800/1063]  loss=0.00316
  Epoch 3 [820/1063]  loss=0.00357
  Epoch 3 [840/1063]  loss=0.00279
  Epoch 3 [860/1063]  loss=0.00286
  Epoch 3 [880/1063]  loss=0.00327
  Epoch 3 [900/1063]  loss=0.00277
  Epoch 3 [920/1063]  loss=0.00369
  Epoch 3 [940/1063]  loss=0.00332
  Epoch 3 [960/1063]  loss=0.00365
  Epoch 3 [980/1063]  loss=0.00400
  Epoch 3 [1000/1063]  loss=0.00474
  Epoch 3 [1020/1063]  loss=0.00317
  Epoch 3 [1040/1063]  loss=0.00366
  Epoch 3 [1060/1063]  loss=0.00515
  Train loss: 0.00391 | Val loss: 0.03394 | Val RMSE: 0.25458 | Val MAE: 0.18713

──────────────────────────────────────────────────
Epoch 4/30  LR=9.77e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 4 [20/1063]  loss=0.00376
  Epoch 4 [40/1063]  loss=0.00289
  Epoch 4 [60/1063]  loss=0.00341
  Epoch 4 [80/1063]  loss=0.00298
  Epoch 4 [100/1063]  loss=0.00417
  Epoch 4 [120/1063]  loss=0.00318
  Epoch 4 [140/1063]  loss=0.00404
  Epoch 4 [160/1063]  loss=0.00254
  Epoch 4 [180/1063]  loss=0.00433
  Epoch 4 [200/1063]  loss=0.00469
  Epoch 4 [220/1063]  loss=0.00325
  Epoch 4 [240/1063]  loss=0.00302
  Epoch 4 [260/1063]  loss=0.00340
  Epoch 4 [280/1063]  loss=0.00347
  Epoch 4 [300/1063]  loss=0.00429
  Epoch 4 [320/1063]  loss=0.00419
  Epoch 4 [340/1063]  loss=0.00308
  Epoch 4 [360/1063]  loss=0.00302
  Epoch 4 [380/1063]  loss=0.00321
  Epoch 4 [400/1063]  loss=0.00275
  Epoch 4 [420/1063]  loss=0.00309
  Epoch 4 [440/1063]  loss=0.00233
  Epoch 4 [460/1063]  loss=0.00251
  Epoch 4 [480/1063]  loss=0.00405
  Epoch 4 [500/1063]  loss=0.00400
  Epoch 4 [520/1063]  loss=0.00338
  Epoch 4 [540/1063]  loss=0.00335
  Epoch 4 [560/1063]  loss=0.00293
  Epoch 4 [580/1063]  loss=0.00289
  Epoch 4 [600/1063]  loss=0.00276
  Epoch 4 [620/1063]  loss=0.00301
  Epoch 4 [640/1063]  loss=0.00343
  Epoch 4 [660/1063]  loss=0.00294
  Epoch 4 [680/1063]  loss=0.00313
  Epoch 4 [700/1063]  loss=0.00285
  Epoch 4 [720/1063]  loss=0.00242
  Epoch 4 [740/1063]  loss=0.00359
  Epoch 4 [760/1063]  loss=0.00291
  Epoch 4 [780/1063]  loss=0.00317
  Epoch 4 [800/1063]  loss=0.00299
  Epoch 4 [820/1063]  loss=0.00373
  Epoch 4 [840/1063]  loss=0.00275
  Epoch 4 [860/1063]  loss=0.00278
  Epoch 4 [880/1063]  loss=0.00245
  Epoch 4 [900/1063]  loss=0.00357
  Epoch 4 [920/1063]  loss=0.00282
  Epoch 4 [940/1063]  loss=0.00261
  Epoch 4 [960/1063]  loss=0.00228
  Epoch 4 [980/1063]  loss=0.00227
  Epoch 4 [1000/1063]  loss=0.00365
  Epoch 4 [1020/1063]  loss=0.00451
  Epoch 4 [1040/1063]  loss=0.00276
  Epoch 4 [1060/1063]  loss=0.00250
  Train loss: 0.00320 | Val loss: 0.02498 | Val RMSE: 0.21993 | Val MAE: 0.15405
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 5/30  LR=9.59e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 5 [20/1063]  loss=0.00309
  Epoch 5 [40/1063]  loss=0.00266
  Epoch 5 [60/1063]  loss=0.00428
  Epoch 5 [80/1063]  loss=0.00305
  Epoch 5 [100/1063]  loss=0.00250
  Epoch 5 [120/1063]  loss=0.00254
  Epoch 5 [140/1063]  loss=0.00244
  Epoch 5 [160/1063]  loss=0.00343
  Epoch 5 [180/1063]  loss=0.00267
  Epoch 5 [200/1063]  loss=0.00267
  Epoch 5 [220/1063]  loss=0.00218
  Epoch 5 [240/1063]  loss=0.00260
