
──────────────────────────────────────────────────
Epoch 1/30  LR=1.00e-03
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 1 [20/1063]  loss=0.12337
  Epoch 1 [40/1063]  loss=0.06195
  Epoch 1 [60/1063]  loss=0.04919
  Epoch 1 [80/1063]  loss=0.02651
  Epoch 1 [100/1063]  loss=0.02630
  Epoch 1 [120/1063]  loss=0.02213
  Epoch 1 [140/1063]  loss=0.01653
  Epoch 1 [160/1063]  loss=0.01678
  Epoch 1 [180/1063]  loss=0.01797
  Epoch 1 [200/1063]  loss=0.01539
  Epoch 1 [220/1063]  loss=0.01216
  Epoch 1 [240/1063]  loss=0.01389
  Epoch 1 [260/1063]  loss=0.01288
  Epoch 1 [280/1063]  loss=0.01551
  Epoch 1 [300/1063]  loss=0.01227
  Epoch 1 [320/1063]  loss=0.01055
  Epoch 1 [340/1063]  loss=0.01208
  Epoch 1 [360/1063]  loss=0.01374
  Epoch 1 [380/1063]  loss=0.01254
  Epoch 1 [400/1063]  loss=0.01215
  Epoch 1 [420/1063]  loss=0.01332
  Epoch 1 [440/1063]  loss=0.00684
  Epoch 1 [460/1063]  loss=0.01072
  Epoch 1 [480/1063]  loss=0.00944
  Epoch 1 [500/1063]  loss=0.01159
  Epoch 1 [520/1063]  loss=0.00858
  Epoch 1 [540/1063]  loss=0.01156
  Epoch 1 [560/1063]  loss=0.00910
  Epoch 1 [580/1063]  loss=0.00805
  Epoch 1 [600/1063]  loss=0.01247
  Epoch 1 [620/1063]  loss=0.00984
  Epoch 1 [640/1063]  loss=0.01047
  Epoch 1 [660/1063]  loss=0.00857
  Epoch 1 [680/1063]  loss=0.00758
  Epoch 1 [700/1063]  loss=0.00660
  Epoch 1 [720/1063]  loss=0.00704
  Epoch 1 [740/1063]  loss=0.00697
  Epoch 1 [760/1063]  loss=0.00803
  Epoch 1 [780/1063]  loss=0.00808
  Epoch 1 [800/1063]  loss=0.00707
  Epoch 1 [820/1063]  loss=0.00812
  Epoch 1 [840/1063]  loss=0.00574
  Epoch 1 [860/1063]  loss=0.00581
  Epoch 1 [880/1063]  loss=0.00960
  Epoch 1 [900/1063]  loss=0.00854
  Epoch 1 [920/1063]  loss=0.00594
  Epoch 1 [940/1063]  loss=0.00601
  Epoch 1 [960/1063]  loss=0.00642
  Epoch 1 [980/1063]  loss=0.00658
  Epoch 1 [1000/1063]  loss=0.00572
  Epoch 1 [1020/1063]  loss=0.00574
  Epoch 1 [1040/1063]  loss=0.00719
  Epoch 1 [1060/1063]  loss=0.00580
  Train loss: 0.02062 | Val loss: 0.02614 | Val RMSE: 0.22668 | Val MAE: 0.15677
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 2/30  LR=9.97e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 2 [20/1063]  loss=0.00622
