
──────────────────────────────────────────────────
Epoch 1/30  LR=1.00e-03
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 1 [20/1063]  loss=0.12556
  Epoch 1 [40/1063]  loss=0.07516
  Epoch 1 [60/1063]  loss=0.06619
  Epoch 1 [80/1063]  loss=0.03820
  Epoch 1 [100/1063]  loss=0.02832
  Epoch 1 [120/1063]  loss=0.02731
  Epoch 1 [140/1063]  loss=0.02118
  Epoch 1 [160/1063]  loss=0.01704
  Epoch 1 [180/1063]  loss=0.01634
  Epoch 1 [200/1063]  loss=0.02429
  Epoch 1 [220/1063]  loss=0.01250
  Epoch 1 [240/1063]  loss=0.01413
  Epoch 1 [260/1063]  loss=0.01777
  Epoch 1 [280/1063]  loss=0.01447
  Epoch 1 [300/1063]  loss=0.01071
  Epoch 1 [320/1063]  loss=0.01371
  Epoch 1 [340/1063]  loss=0.00896
  Epoch 1 [360/1063]  loss=0.01235
  Epoch 1 [380/1063]  loss=0.01157
  Epoch 1 [400/1063]  loss=0.01041
  Epoch 1 [420/1063]  loss=0.01181
  Epoch 1 [440/1063]  loss=0.01014
  Epoch 1 [460/1063]  loss=0.01326
  Epoch 1 [480/1063]  loss=0.01174
  Epoch 1 [500/1063]  loss=0.01072
  Epoch 1 [520/1063]  loss=0.00904
  Epoch 1 [540/1063]  loss=0.01032
  Epoch 1 [560/1063]  loss=0.01241
  Epoch 1 [580/1063]  loss=0.00912
  Epoch 1 [600/1063]  loss=0.00990
  Epoch 1 [620/1063]  loss=0.01197
  Epoch 1 [640/1063]  loss=0.00912
  Epoch 1 [660/1063]  loss=0.00834
  Epoch 1 [680/1063]  loss=0.00814
  Epoch 1 [700/1063]  loss=0.00750
  Epoch 1 [720/1063]  loss=0.00610
  Epoch 1 [740/1063]  loss=0.00803
  Epoch 1 [760/1063]  loss=0.00853
  Epoch 1 [780/1063]  loss=0.00780
  Epoch 1 [800/1063]  loss=0.01344
  Epoch 1 [820/1063]  loss=0.00853
  Epoch 1 [840/1063]  loss=0.00541
  Epoch 1 [860/1063]  loss=0.00820
  Epoch 1 [880/1063]  loss=0.00720
  Epoch 1 [900/1063]  loss=0.00651
  Epoch 1 [920/1063]  loss=0.00470
  Epoch 1 [940/1063]  loss=0.00781
  Epoch 1 [960/1063]  loss=0.00712
  Epoch 1 [980/1063]  loss=0.00626
  Epoch 1 [1000/1063]  loss=0.00836
  Epoch 1 [1020/1063]  loss=0.00692
  Epoch 1 [1040/1063]  loss=0.00766
  Epoch 1 [1060/1063]  loss=0.00547
  Train loss: 0.02038 | Val loss: 0.02730 | Val RMSE: 0.23024 | Val MAE: 0.16020
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 2/30  LR=9.97e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 2 [20/1063]  loss=0.00658
  Epoch 2 [40/1063]  loss=0.00552
  Epoch 2 [60/1063]  loss=0.00675
  Epoch 2 [80/1063]  loss=0.00629
  Epoch 2 [100/1063]  loss=0.00603
  Epoch 2 [120/1063]  loss=0.00478
  Epoch 2 [140/1063]  loss=0.00520
  Epoch 2 [160/1063]  loss=0.00708
  Epoch 2 [180/1063]  loss=0.00712
  Epoch 2 [200/1063]  loss=0.00588
  Epoch 2 [220/1063]  loss=0.00670
  Epoch 2 [240/1063]  loss=0.00635
  Epoch 2 [260/1063]  loss=0.00577
  Epoch 2 [280/1063]  loss=0.00628
  Epoch 2 [300/1063]  loss=0.00461
  Epoch 2 [320/1063]  loss=0.00522
  Epoch 2 [340/1063]  loss=0.00399
  Epoch 2 [360/1063]  loss=0.00485
  Epoch 2 [380/1063]  loss=0.00506
  Epoch 2 [400/1063]  loss=0.00410
  Epoch 2 [420/1063]  loss=0.00448
  Epoch 2 [440/1063]  loss=0.00530
  Epoch 2 [460/1063]  loss=0.00594
  Epoch 2 [480/1063]  loss=0.00522
  Epoch 2 [500/1063]  loss=0.00473
  Epoch 2 [520/1063]  loss=0.00531
  Epoch 2 [540/1063]  loss=0.00447
  Epoch 2 [560/1063]  loss=0.00385
  Epoch 2 [580/1063]  loss=0.00555
  Epoch 2 [600/1063]  loss=0.00518
  Epoch 2 [620/1063]  loss=0.00459
  Epoch 2 [640/1063]  loss=0.00584
  Epoch 2 [660/1063]  loss=0.00525
  Epoch 2 [680/1063]  loss=0.00473
  Epoch 2 [700/1063]  loss=0.00473
  Epoch 2 [720/1063]  loss=0.00440
  Epoch 2 [740/1063]  loss=0.00411
  Epoch 2 [760/1063]  loss=0.00321
  Epoch 2 [780/1063]  loss=0.00386
  Epoch 2 [800/1063]  loss=0.00494
  Epoch 2 [820/1063]  loss=0.00522
  Epoch 2 [840/1063]  loss=0.00425
  Epoch 2 [860/1063]  loss=0.00614
  Epoch 2 [880/1063]  loss=0.00426
  Epoch 2 [900/1063]  loss=0.00491
  Epoch 2 [920/1063]  loss=0.00392
  Epoch 2 [940/1063]  loss=0.00439
  Epoch 2 [960/1063]  loss=0.00429
  Epoch 2 [980/1063]  loss=0.00464
  Epoch 2 [1000/1063]  loss=0.00629
  Epoch 2 [1020/1063]  loss=0.00523
  Epoch 2 [1040/1063]  loss=0.00449
  Epoch 2 [1060/1063]  loss=0.00506
