
──────────────────────────────────────────────────
Epoch 1/6  LR=1.00e-03
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 1 [20/1063]  loss=0.15067
  Epoch 1 [40/1063]  loss=0.08267
  Epoch 1 [60/1063]  loss=0.05123
  Epoch 1 [80/1063]  loss=0.03483
  Epoch 1 [100/1063]  loss=0.02167
  Epoch 1 [120/1063]  loss=0.02004
  Epoch 1 [140/1063]  loss=0.01557
  Epoch 1 [160/1063]  loss=0.01382
  Epoch 1 [180/1063]  loss=0.01475
  Epoch 1 [200/1063]  loss=0.01381
  Epoch 1 [220/1063]  loss=0.01375
  Epoch 1 [240/1063]  loss=0.02757
  Epoch 1 [260/1063]  loss=0.01361
  Epoch 1 [280/1063]  loss=0.00941
  Epoch 1 [300/1063]  loss=0.01180
  Epoch 1 [320/1063]  loss=0.01261
  Epoch 1 [340/1063]  loss=0.01072
  Epoch 1 [360/1063]  loss=0.01175
  Epoch 1 [380/1063]  loss=0.00785
  Epoch 1 [400/1063]  loss=0.01330
  Epoch 1 [420/1063]  loss=0.00997
  Epoch 1 [440/1063]  loss=0.00942
  Epoch 1 [460/1063]  loss=0.01022
  Epoch 1 [480/1063]  loss=0.00961
  Epoch 1 [500/1063]  loss=0.00835
  Epoch 1 [520/1063]  loss=0.01133
  Epoch 1 [540/1063]  loss=0.00838
  Epoch 1 [560/1063]  loss=0.01062
  Epoch 1 [580/1063]  loss=0.01277
  Epoch 1 [600/1063]  loss=0.00694
  Epoch 1 [620/1063]  loss=0.00990
  Epoch 1 [640/1063]  loss=0.00888
  Epoch 1 [660/1063]  loss=0.00911
  Epoch 1 [680/1063]  loss=0.00736
  Epoch 1 [700/1063]  loss=0.00692
  Epoch 1 [720/1063]  loss=0.00759
  Epoch 1 [740/1063]  loss=0.00767
  Epoch 1 [760/1063]  loss=0.00810
  Epoch 1 [780/1063]  loss=0.00564
  Epoch 1 [800/1063]  loss=0.00545
  Epoch 1 [820/1063]  loss=0.00949
  Epoch 1 [840/1063]  loss=0.00616
  Epoch 1 [860/1063]  loss=0.00638
  Epoch 1 [880/1063]  loss=0.00627
  Epoch 1 [900/1063]  loss=0.00659
  Epoch 1 [920/1063]  loss=0.00605
  Epoch 1 [940/1063]  loss=0.00818
  Epoch 1 [960/1063]  loss=0.00631
  Epoch 1 [980/1063]  loss=0.00702
  Epoch 1 [1000/1063]  loss=0.00638
  Epoch 1 [1020/1063]  loss=0.00558
  Epoch 1 [1040/1063]  loss=0.00622
  Epoch 1 [1060/1063]  loss=0.00634
  Train loss: 0.02452 | Val loss: 0.03111 | Val RMSE: 0.24737 | Val MAE: 0.17278
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 2/6  LR=9.36e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 2 [20/1063]  loss=0.00789
  Epoch 2 [40/1063]  loss=0.00650
  Epoch 2 [60/1063]  loss=0.00775
  Epoch 2 [80/1063]  loss=0.00577
  Epoch 2 [100/1063]  loss=0.00494
  Epoch 2 [120/1063]  loss=0.00487
  Epoch 2 [140/1063]  loss=0.01071
  Epoch 2 [160/1063]  loss=0.00562
  Epoch 2 [180/1063]  loss=0.00637
  Epoch 2 [200/1063]  loss=0.00653
  Epoch 2 [220/1063]  loss=0.00512
  Epoch 2 [240/1063]  loss=0.00549
  Epoch 2 [260/1063]  loss=0.00550
  Epoch 2 [280/1063]  loss=0.00566
  Epoch 2 [300/1063]  loss=0.00420
  Epoch 2 [320/1063]  loss=0.00578
  Epoch 2 [340/1063]  loss=0.00508
  Epoch 2 [360/1063]  loss=0.00443
  Epoch 2 [380/1063]  loss=0.00442
  Epoch 2 [400/1063]  loss=0.00611
  Epoch 2 [420/1063]  loss=0.00413
  Epoch 2 [440/1063]  loss=0.00713
  Epoch 2 [460/1063]  loss=0.00495
  Epoch 2 [480/1063]  loss=0.00437
  Epoch 2 [500/1063]  loss=0.00607
  Epoch 2 [520/1063]  loss=0.00457
  Epoch 2 [540/1063]  loss=0.00506
  Epoch 2 [560/1063]  loss=0.00382
  Epoch 2 [580/1063]  loss=0.00509
  Epoch 2 [600/1063]  loss=0.00632
  Epoch 2 [620/1063]  loss=0.00448
  Epoch 2 [640/1063]  loss=0.00484
  Epoch 2 [660/1063]  loss=0.00461
  Epoch 2 [680/1063]  loss=0.00499
  Epoch 2 [700/1063]  loss=0.00465
  Epoch 2 [720/1063]  loss=0.00573
  Epoch 2 [740/1063]  loss=0.00408
  Epoch 2 [760/1063]  loss=0.00568
  Epoch 2 [780/1063]  loss=0.00299
  Epoch 2 [800/1063]  loss=0.00512
  Epoch 2 [820/1063]  loss=0.00422
  Epoch 2 [840/1063]  loss=0.00491
  Epoch 2 [860/1063]  loss=0.00452
  Epoch 2 [880/1063]  loss=0.00440
  Epoch 2 [900/1063]  loss=0.00343
  Epoch 2 [920/1063]  loss=0.00374
  Epoch 2 [940/1063]  loss=0.00298
  Epoch 2 [960/1063]  loss=0.00379
  Epoch 2 [980/1063]  loss=0.00524
  Epoch 2 [1000/1063]  loss=0.00438
  Epoch 2 [1020/1063]  loss=0.00451
  Epoch 2 [1040/1063]  loss=0.00405
  Epoch 2 [1060/1063]  loss=0.00347
  Train loss: 0.00499 | Val loss: 0.03134 | Val RMSE: 0.24835 | Val MAE: 0.17071

──────────────────────────────────────────────────
Epoch 3/6  LR=7.63e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 3 [20/1063]  loss=0.00398
  Epoch 3 [40/1063]  loss=0.00361
  Epoch 3 [60/1063]  loss=0.00404
  Epoch 3 [80/1063]  loss=0.00332
  Epoch 3 [100/1063]  loss=0.00304
  Epoch 3 [120/1063]  loss=0.00362
  Epoch 3 [140/1063]  loss=0.00324
  Epoch 3 [160/1063]  loss=0.00440
  Epoch 3 [180/1063]  loss=0.00332
  Epoch 3 [200/1063]  loss=0.00390
  Epoch 3 [220/1063]  loss=0.00320
  Epoch 3 [240/1063]  loss=0.00372
  Epoch 3 [260/1063]  loss=0.00334
  Epoch 3 [280/1063]  loss=0.00335
  Epoch 3 [300/1063]  loss=0.00370
  Epoch 3 [320/1063]  loss=0.00351
  Epoch 3 [340/1063]  loss=0.00439
  Epoch 3 [360/1063]  loss=0.00316
  Epoch 3 [380/1063]  loss=0.00414
  Epoch 3 [400/1063]  loss=0.00637
  Epoch 3 [420/1063]  loss=0.00485
  Epoch 3 [440/1063]  loss=0.00480
  Epoch 3 [460/1063]  loss=0.00281
  Epoch 3 [480/1063]  loss=0.00290
  Epoch 3 [500/1063]  loss=0.00380
  Epoch 3 [520/1063]  loss=0.00470
  Epoch 3 [540/1063]  loss=0.00311
  Epoch 3 [560/1063]  loss=0.00290
  Epoch 3 [580/1063]  loss=0.00322
  Epoch 3 [600/1063]  loss=0.00328
  Epoch 3 [620/1063]  loss=0.00338
  Epoch 3 [640/1063]  loss=0.00360
  Epoch 3 [660/1063]  loss=0.00282
  Epoch 3 [680/1063]  loss=0.00509
  Epoch 3 [700/1063]  loss=0.00305
  Epoch 3 [720/1063]  loss=0.00303
  Epoch 3 [740/1063]  loss=0.00335
  Epoch 3 [760/1063]  loss=0.00325
  Epoch 3 [780/1063]  loss=0.00267
  Epoch 3 [800/1063]  loss=0.00347
  Epoch 3 [820/1063]  loss=0.00333
  Epoch 3 [840/1063]  loss=0.00387
  Epoch 3 [860/1063]  loss=0.00300
  Epoch 3 [880/1063]  loss=0.00495
  Epoch 3 [900/1063]  loss=0.00267
  Epoch 3 [920/1063]  loss=0.00349
  Epoch 3 [940/1063]  loss=0.00381
  Epoch 3 [960/1063]  loss=0.00270
  Epoch 3 [980/1063]  loss=0.00325
  Epoch 3 [1000/1063]  loss=0.00327
  Epoch 3 [1020/1063]  loss=0.00280
  Epoch 3 [1040/1063]  loss=0.00314
  Epoch 3 [1060/1063]  loss=0.00577
  Train loss: 0.00366 | Val loss: 0.02975 | Val RMSE: 0.24181 | Val MAE: 0.16617
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 4/6  LR=5.25e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 4 [20/1063]  loss=0.00328
  Epoch 4 [40/1063]  loss=0.00361
  Epoch 4 [60/1063]  loss=0.00366
  Epoch 4 [80/1063]  loss=0.00289
  Epoch 4 [100/1063]  loss=0.00348
  Epoch 4 [120/1063]  loss=0.00322
  Epoch 4 [140/1063]  loss=0.00310
  Epoch 4 [160/1063]  loss=0.00348
  Epoch 4 [180/1063]  loss=0.00316
  Epoch 4 [200/1063]  loss=0.00305
  Epoch 4 [220/1063]  loss=0.00303
  Epoch 4 [240/1063]  loss=0.00352
  Epoch 4 [260/1063]  loss=0.00325
  Epoch 4 [280/1063]  loss=0.00249
  Epoch 4 [300/1063]  loss=0.00322
  Epoch 4 [320/1063]  loss=0.00277
  Epoch 4 [340/1063]  loss=0.00246
  Epoch 4 [360/1063]  loss=0.00331
  Epoch 4 [380/1063]  loss=0.00438
  Epoch 4 [400/1063]  loss=0.00343
  Epoch 4 [420/1063]  loss=0.00211
  Epoch 4 [440/1063]  loss=0.00262
  Epoch 4 [460/1063]  loss=0.00399
  Epoch 4 [480/1063]  loss=0.00310
  Epoch 4 [500/1063]  loss=0.00244
  Epoch 4 [520/1063]  loss=0.00311
  Epoch 4 [540/1063]  loss=0.00286
  Epoch 4 [560/1063]  loss=0.00316
  Epoch 4 [580/1063]  loss=0.00299
  Epoch 4 [600/1063]  loss=0.00351
  Epoch 4 [620/1063]  loss=0.00351
  Epoch 4 [640/1063]  loss=0.00290
  Epoch 4 [660/1063]  loss=0.00444
  Epoch 4 [680/1063]  loss=0.00250
  Epoch 4 [700/1063]  loss=0.00274
  Epoch 4 [720/1063]  loss=0.00299
  Epoch 4 [740/1063]  loss=0.00259
  Epoch 4 [760/1063]  loss=0.00250
  Epoch 4 [780/1063]  loss=0.00305
  Epoch 4 [800/1063]  loss=0.00273
  Epoch 4 [820/1063]  loss=0.00234
  Epoch 4 [840/1063]  loss=0.00255
  Epoch 4 [860/1063]  loss=0.00247
  Epoch 4 [880/1063]  loss=0.00348
  Epoch 4 [900/1063]  loss=0.00231
  Epoch 4 [920/1063]  loss=0.00341
  Epoch 4 [940/1063]  loss=0.00314
  Epoch 4 [960/1063]  loss=0.00244
  Epoch 4 [980/1063]  loss=0.00301
  Epoch 4 [1000/1063]  loss=0.00351
  Epoch 4 [1020/1063]  loss=0.00283
  Epoch 4 [1040/1063]  loss=0.00265
  Epoch 4 [1060/1063]  loss=0.00345
  Train loss: 0.00303 | Val loss: 0.02735 | Val RMSE: 0.23186 | Val MAE: 0.15927
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 5/6  LR=2.88e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 5 [20/1063]  loss=0.00214
  Epoch 5 [40/1063]  loss=0.00251
  Epoch 5 [60/1063]  loss=0.00353
  Epoch 5 [80/1063]  loss=0.00233
  Epoch 5 [100/1063]  loss=0.00244
  Epoch 5 [120/1063]  loss=0.00258
  Epoch 5 [140/1063]  loss=0.00200
  Epoch 5 [160/1063]  loss=0.00200
  Epoch 5 [180/1063]  loss=0.00241
  Epoch 5 [200/1063]  loss=0.00269
  Epoch 5 [220/1063]  loss=0.00280
  Epoch 5 [240/1063]  loss=0.00253
