/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

--- Epoch 1/6 ---
Epoch 1 [10/1063] Loss: 0.375567
Epoch 1 [20/1063] Loss: 0.194652
Epoch 1 [30/1063] Loss: 0.101079
Epoch 1 [40/1063] Loss: 0.079377
Epoch 1 [50/1063] Loss: 0.060288
Epoch 1 [60/1063] Loss: 0.072601
Epoch 1 [70/1063] Loss: 0.058919
Epoch 1 [80/1063] Loss: 0.053604
Epoch 1 [90/1063] Loss: 0.046674
Epoch 1 [100/1063] Loss: 0.036608
Epoch 1 [110/1063] Loss: 0.044828
Epoch 1 [120/1063] Loss: 0.032625
Epoch 1 [130/1063] Loss: 0.041081
Epoch 1 [140/1063] Loss: 0.036825
Epoch 1 [150/1063] Loss: 0.035648
Epoch 1 [160/1063] Loss: 0.029437
Epoch 1 [170/1063] Loss: 0.029221
Epoch 1 [180/1063] Loss: 0.033114
Epoch 1 [190/1063] Loss: 0.029933
Epoch 1 [200/1063] Loss: 0.037648
Epoch 1 [210/1063] Loss: 0.032190
Epoch 1 [220/1063] Loss: 0.036882
Epoch 1 [230/1063] Loss: 0.028384
Epoch 1 [240/1063] Loss: 0.030546
Epoch 1 [250/1063] Loss: 0.029857
Epoch 1 [260/1063] Loss: 0.023479
Epoch 1 [270/1063] Loss: 0.021618
Epoch 1 [280/1063] Loss: 0.023451
Epoch 1 [290/1063] Loss: 0.026600
Epoch 1 [300/1063] Loss: 0.023313
Epoch 1 [310/1063] Loss: 0.021881
Epoch 1 [320/1063] Loss: 0.020994
Epoch 1 [330/1063] Loss: 0.026253
Epoch 1 [340/1063] Loss: 0.025990
Epoch 1 [350/1063] Loss: 0.022646
Epoch 1 [360/1063] Loss: 0.018862
Epoch 1 [370/1063] Loss: 0.028430
Epoch 1 [380/1063] Loss: 0.019462
Epoch 1 [390/1063] Loss: 0.032498
Epoch 1 [400/1063] Loss: 0.020682
Epoch 1 [410/1063] Loss: 0.019278
Epoch 1 [420/1063] Loss: 0.020372
Epoch 1 [430/1063] Loss: 0.020872
Epoch 1 [440/1063] Loss: 0.022394
Epoch 1 [450/1063] Loss: 0.021949
Epoch 1 [460/1063] Loss: 0.021627
Epoch 1 [470/1063] Loss: 0.022252
Epoch 1 [480/1063] Loss: 0.018083
Epoch 1 [490/1063] Loss: 0.019352
Epoch 1 [500/1063] Loss: 0.017863
Epoch 1 [510/1063] Loss: 0.019843
Epoch 1 [520/1063] Loss: 0.019004
Epoch 1 [530/1063] Loss: 0.019277
Epoch 1 [540/1063] Loss: 0.019423
Epoch 1 [550/1063] Loss: 0.014498
Epoch 1 [560/1063] Loss: 0.019585
Epoch 1 [570/1063] Loss: 0.015294
Epoch 1 [580/1063] Loss: 0.015354
Epoch 1 [590/1063] Loss: 0.016617
Epoch 1 [600/1063] Loss: 0.019192
Epoch 1 [610/1063] Loss: 0.015263
Epoch 1 [620/1063] Loss: 0.013597
Epoch 1 [630/1063] Loss: 0.016936
Epoch 1 [640/1063] Loss: 0.020559
Epoch 1 [650/1063] Loss: 0.016351
Epoch 1 [660/1063] Loss: 0.017579
Epoch 1 [670/1063] Loss: 0.014962
Epoch 1 [680/1063] Loss: 0.018079
Epoch 1 [690/1063] Loss: 0.014422
Epoch 1 [700/1063] Loss: 0.017432
Epoch 1 [710/1063] Loss: 0.016646
Epoch 1 [720/1063] Loss: 0.012810
Epoch 1 [730/1063] Loss: 0.012174
Epoch 1 [740/1063] Loss: 0.013462
Epoch 1 [750/1063] Loss: 0.017626
Epoch 1 [760/1063] Loss: 0.013940
Epoch 1 [770/1063] Loss: 0.017413
Epoch 1 [780/1063] Loss: 0.013720
Epoch 1 [790/1063] Loss: 0.017424
Epoch 1 [800/1063] Loss: 0.012853
Epoch 1 [810/1063] Loss: 0.017828
Epoch 1 [820/1063] Loss: 0.013964
Epoch 1 [830/1063] Loss: 0.013298
Epoch 1 [840/1063] Loss: 0.014241
Epoch 1 [850/1063] Loss: 0.012837
Epoch 1 [860/1063] Loss: 0.008704
Epoch 1 [870/1063] Loss: 0.013901
Epoch 1 [880/1063] Loss: 0.011775
Epoch 1 [890/1063] Loss: 0.014296
Epoch 1 [900/1063] Loss: 0.016450
Epoch 1 [910/1063] Loss: 0.013805
Epoch 1 [920/1063] Loss: 0.013742
Epoch 1 [930/1063] Loss: 0.015058
Epoch 1 [940/1063] Loss: 0.012189
Epoch 1 [950/1063] Loss: 0.013372
Epoch 1 [960/1063] Loss: 0.011890
Epoch 1 [970/1063] Loss: 0.013609
Epoch 1 [980/1063] Loss: 0.015700
Epoch 1 [990/1063] Loss: 0.012235
Epoch 1 [1000/1063] Loss: 0.012829
Epoch 1 [1010/1063] Loss: 0.009558
Epoch 1 [1020/1063] Loss: 0.011063
Epoch 1 [1030/1063] Loss: 0.015860
Epoch 1 [1040/1063] Loss: 0.013402
Epoch 1 [1050/1063] Loss: 0.012652
Epoch 1 [1060/1063] Loss: 0.012199
Train Loss: 0.032583 | Val Loss: 0.211585 | Val RMSE: 0.430582
⭐ Best Model Saved

--- Epoch 2/6 ---
