/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

--- Epoch 1/6 ---
Epoch 1 [10/532] Loss: 0.353916
Epoch 1 [20/532] Loss: 0.151277
Epoch 1 [30/532] Loss: 0.121688
Epoch 1 [40/532] Loss: 0.076537
Epoch 1 [50/532] Loss: 0.069270
Epoch 1 [60/532] Loss: 0.067639
Epoch 1 [70/532] Loss: 0.069524
Epoch 1 [80/532] Loss: 0.044624
Epoch 1 [90/532] Loss: 0.052201
Epoch 1 [100/532] Loss: 0.046801
Epoch 1 [110/532] Loss: 0.038993
Epoch 1 [120/532] Loss: 0.036980
Epoch 1 [130/532] Loss: 0.041439
Epoch 1 [140/532] Loss: 0.033081
Epoch 1 [150/532] Loss: 0.035852
Epoch 1 [160/532] Loss: 0.030710
Epoch 1 [170/532] Loss: 0.033721
Epoch 1 [180/532] Loss: 0.029707
Epoch 1 [190/532] Loss: 0.031687
Epoch 1 [200/532] Loss: 0.025070
Epoch 1 [210/532] Loss: 0.024784
Epoch 1 [220/532] Loss: 0.023105
Epoch 1 [230/532] Loss: 0.022520
Epoch 1 [240/532] Loss: 0.024617
Epoch 1 [250/532] Loss: 0.021606
Epoch 1 [260/532] Loss: 0.023360
Epoch 1 [270/532] Loss: 0.020208
Epoch 1 [280/532] Loss: 0.023118
Epoch 1 [290/532] Loss: 0.028243
Epoch 1 [300/532] Loss: 0.020992
Epoch 1 [310/532] Loss: 0.021296
Epoch 1 [320/532] Loss: 0.022648
Epoch 1 [330/532] Loss: 0.019965
Epoch 1 [340/532] Loss: 0.018700
Epoch 1 [350/532] Loss: 0.019428
Epoch 1 [360/532] Loss: 0.023086
Epoch 1 [370/532] Loss: 0.022736
Epoch 1 [380/532] Loss: 0.024118
Epoch 1 [390/532] Loss: 0.020084
Epoch 1 [400/532] Loss: 0.017799
Epoch 1 [410/532] Loss: 0.020008
Epoch 1 [420/532] Loss: 0.020653
Epoch 1 [430/532] Loss: 0.016461
Epoch 1 [440/532] Loss: 0.016248
Epoch 1 [450/532] Loss: 0.016625
Epoch 1 [460/532] Loss: 0.021622
Epoch 1 [470/532] Loss: 0.020160
Epoch 1 [480/532] Loss: 0.017857
Epoch 1 [490/532] Loss: 0.015896
Epoch 1 [500/532] Loss: 0.018095
Epoch 1 [510/532] Loss: 0.020208
Epoch 1 [520/532] Loss: 0.016223
Epoch 1 [530/532] Loss: 0.016918
Train Loss: 0.047046 | Val Loss: 0.058710 | Val RMSE: 0.236101
⭐ Best Model Saved

--- Epoch 2/6 ---
Epoch 2 [10/532] Loss: 0.019496
Epoch 2 [20/532] Loss: 0.014474
