
──────────────────────────────────────────────────
Epoch 1/6  LR=1.00e-03
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 1 [20/1063]  loss=0.32096
  Epoch 1 [40/1063]  loss=0.11171
  Epoch 1 [60/1063]  loss=0.07599
  Epoch 1 [80/1063]  loss=0.06142
  Epoch 1 [100/1063]  loss=0.03907
  Epoch 1 [120/1063]  loss=0.03658
  Epoch 1 [140/1063]  loss=0.04737
  Epoch 1 [160/1063]  loss=0.03583
  Epoch 1 [180/1063]  loss=0.03276
  Epoch 1 [200/1063]  loss=0.03693
  Epoch 1 [220/1063]  loss=0.03073
  Epoch 1 [240/1063]  loss=0.02930
  Epoch 1 [260/1063]  loss=0.02486
  Epoch 1 [280/1063]  loss=0.02279
  Epoch 1 [300/1063]  loss=0.02356
  Epoch 1 [320/1063]  loss=0.02322
  Epoch 1 [340/1063]  loss=0.01907
  Epoch 1 [360/1063]  loss=0.03090
  Epoch 1 [380/1063]  loss=0.02093
  Epoch 1 [400/1063]  loss=0.02642
  Epoch 1 [420/1063]  loss=0.01965
  Epoch 1 [440/1063]  loss=0.01851
  Epoch 1 [460/1063]  loss=0.02034
  Epoch 1 [480/1063]  loss=0.02044
  Epoch 1 [500/1063]  loss=0.01938
  Epoch 1 [520/1063]  loss=0.01874
  Epoch 1 [540/1063]  loss=0.01740
  Epoch 1 [560/1063]  loss=0.02055
  Epoch 1 [580/1063]  loss=0.01555
  Epoch 1 [600/1063]  loss=0.01793
  Epoch 1 [620/1063]  loss=0.01824
  Epoch 1 [640/1063]  loss=0.01856
  Epoch 1 [660/1063]  loss=0.01375
  Epoch 1 [680/1063]  loss=0.02028
  Epoch 1 [700/1063]  loss=0.01717
  Epoch 1 [720/1063]  loss=0.01567
  Epoch 1 [740/1063]  loss=0.01704
  Epoch 1 [760/1063]  loss=0.01602
  Epoch 1 [780/1063]  loss=0.01363
  Epoch 1 [800/1063]  loss=0.01695
  Epoch 1 [820/1063]  loss=0.01812
  Epoch 1 [840/1063]  loss=0.01175
  Epoch 1 [860/1063]  loss=0.01786
  Epoch 1 [880/1063]  loss=0.01801
  Epoch 1 [900/1063]  loss=0.01529
  Epoch 1 [920/1063]  loss=0.02082
  Epoch 1 [940/1063]  loss=0.01475
  Epoch 1 [960/1063]  loss=0.01577
  Epoch 1 [980/1063]  loss=0.01764
  Epoch 1 [1000/1063]  loss=0.01374
  Epoch 1 [1020/1063]  loss=0.01890
  Epoch 1 [1040/1063]  loss=0.01169
  Epoch 1 [1060/1063]  loss=0.01682
  Train loss: 0.04180 | Val loss: 0.07099 | Val RMSE: 0.26292 | Val MAE: 0.18544
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 2/6  LR=9.36e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 2 [20/1063]  loss=0.01193
  Epoch 2 [40/1063]  loss=0.01094
  Epoch 2 [60/1063]  loss=0.01267
  Epoch 2 [80/1063]  loss=0.01214
  Epoch 2 [100/1063]  loss=0.01091
  Epoch 2 [120/1063]  loss=0.01272
  Epoch 2 [140/1063]  loss=0.01454
  Epoch 2 [160/1063]  loss=0.01057
  Epoch 2 [180/1063]  loss=0.01300
  Epoch 2 [200/1063]  loss=0.01373
  Epoch 2 [220/1063]  loss=0.01107
  Epoch 2 [240/1063]  loss=0.00997
  Epoch 2 [260/1063]  loss=0.01081
  Epoch 2 [280/1063]  loss=0.01478
  Epoch 2 [300/1063]  loss=0.01378
  Epoch 2 [320/1063]  loss=0.01151
  Epoch 2 [340/1063]  loss=0.01865
  Epoch 2 [360/1063]  loss=0.01482
  Epoch 2 [380/1063]  loss=0.00995
  Epoch 2 [400/1063]  loss=0.01173
  Epoch 2 [420/1063]  loss=0.01336
  Epoch 2 [440/1063]  loss=0.01042
  Epoch 2 [460/1063]  loss=0.01067
  Epoch 2 [480/1063]  loss=0.00991
  Epoch 2 [500/1063]  loss=0.00964
  Epoch 2 [520/1063]  loss=0.00804
  Epoch 2 [540/1063]  loss=0.00935
  Epoch 2 [560/1063]  loss=0.00818
  Epoch 2 [580/1063]  loss=0.01025
  Epoch 2 [600/1063]  loss=0.01095
  Epoch 2 [620/1063]  loss=0.00922
  Epoch 2 [640/1063]  loss=0.01129
  Epoch 2 [660/1063]  loss=0.01168
  Epoch 2 [680/1063]  loss=0.01298
  Epoch 2 [700/1063]  loss=0.00996
  Epoch 2 [720/1063]  loss=0.00913
  Epoch 2 [740/1063]  loss=0.01053
  Epoch 2 [760/1063]  loss=0.00964
  Epoch 2 [780/1063]  loss=0.01226
  Epoch 2 [800/1063]  loss=0.01033
  Epoch 2 [820/1063]  loss=0.01182
  Epoch 2 [840/1063]  loss=0.00998
  Epoch 2 [860/1063]  loss=0.01158
  Epoch 2 [880/1063]  loss=0.00929
  Epoch 2 [900/1063]  loss=0.01277
  Epoch 2 [920/1063]  loss=0.01068
  Epoch 2 [940/1063]  loss=0.00969
  Epoch 2 [960/1063]  loss=0.00790
  Epoch 2 [980/1063]  loss=0.00985
  Epoch 2 [1000/1063]  loss=0.00907
  Epoch 2 [1020/1063]  loss=0.01718
  Epoch 2 [1040/1063]  loss=0.00872
  Epoch 2 [1060/1063]  loss=0.00863
  Train loss: 0.01124 | Val loss: 0.05585 | Val RMSE: 0.23256 | Val MAE: 0.16550
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 3/6  LR=7.63e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 3 [20/1063]  loss=0.00814
  Epoch 3 [40/1063]  loss=0.00832
  Epoch 3 [60/1063]  loss=0.00676
  Epoch 3 [80/1063]  loss=0.00958
  Epoch 3 [100/1063]  loss=0.00822
  Epoch 3 [120/1063]  loss=0.00651
  Epoch 3 [140/1063]  loss=0.01096
  Epoch 3 [160/1063]  loss=0.00723
  Epoch 3 [180/1063]  loss=0.01036
  Epoch 3 [200/1063]  loss=0.00770
  Epoch 3 [220/1063]  loss=0.00912
  Epoch 3 [240/1063]  loss=0.00886
  Epoch 3 [260/1063]  loss=0.00642
  Epoch 3 [280/1063]  loss=0.01147
  Epoch 3 [300/1063]  loss=0.00940
  Epoch 3 [320/1063]  loss=0.00809
  Epoch 3 [340/1063]  loss=0.00968
  Epoch 3 [360/1063]  loss=0.00824
  Epoch 3 [380/1063]  loss=0.00769
  Epoch 3 [400/1063]  loss=0.00767
  Epoch 3 [420/1063]  loss=0.00834
  Epoch 3 [440/1063]  loss=0.00906
  Epoch 3 [460/1063]  loss=0.00730
  Epoch 3 [480/1063]  loss=0.00724
  Epoch 3 [500/1063]  loss=0.00903
  Epoch 3 [520/1063]  loss=0.00825
  Epoch 3 [540/1063]  loss=0.00806
  Epoch 3 [560/1063]  loss=0.00842
  Epoch 3 [580/1063]  loss=0.00926
  Epoch 3 [600/1063]  loss=0.00731
  Epoch 3 [620/1063]  loss=0.00819
  Epoch 3 [640/1063]  loss=0.00642
  Epoch 3 [660/1063]  loss=0.00824
  Epoch 3 [680/1063]  loss=0.00911
  Epoch 3 [700/1063]  loss=0.00797
  Epoch 3 [720/1063]  loss=0.00704
  Epoch 3 [740/1063]  loss=0.01090
  Epoch 3 [760/1063]  loss=0.00783
  Epoch 3 [780/1063]  loss=0.00891
  Epoch 3 [800/1063]  loss=0.00765
  Epoch 3 [820/1063]  loss=0.00873
  Epoch 3 [840/1063]  loss=0.00882
  Epoch 3 [860/1063]  loss=0.00785
  Epoch 3 [880/1063]  loss=0.00897
  Epoch 3 [900/1063]  loss=0.01015
  Epoch 3 [920/1063]  loss=0.00894
  Epoch 3 [940/1063]  loss=0.00736
  Epoch 3 [960/1063]  loss=0.00892
  Epoch 3 [980/1063]  loss=0.01059
  Epoch 3 [1000/1063]  loss=0.00712
  Epoch 3 [1020/1063]  loss=0.00733
  Epoch 3 [1040/1063]  loss=0.00658
  Epoch 3 [1060/1063]  loss=0.00882
  Train loss: 0.00853 | Val loss: 0.05636 | Val RMSE: 0.23284 | Val MAE: 0.16169

──────────────────────────────────────────────────
Epoch 4/6  LR=5.25e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 4 [20/1063]  loss=0.00681
  Epoch 4 [40/1063]  loss=0.00752
  Epoch 4 [60/1063]  loss=0.00899
  Epoch 4 [80/1063]  loss=0.00732
  Epoch 4 [100/1063]  loss=0.00706
  Epoch 4 [120/1063]  loss=0.00736
  Epoch 4 [140/1063]  loss=0.00495
  Epoch 4 [160/1063]  loss=0.00844
  Epoch 4 [180/1063]  loss=0.00582
  Epoch 4 [200/1063]  loss=0.00947
  Epoch 4 [220/1063]  loss=0.00594
  Epoch 4 [240/1063]  loss=0.00694
  Epoch 4 [260/1063]  loss=0.00685
  Epoch 4 [280/1063]  loss=0.00984
  Epoch 4 [300/1063]  loss=0.00806
  Epoch 4 [320/1063]  loss=0.00673
  Epoch 4 [340/1063]  loss=0.00687
  Epoch 4 [360/1063]  loss=0.00786
  Epoch 4 [380/1063]  loss=0.00778
  Epoch 4 [400/1063]  loss=0.00704
  Epoch 4 [420/1063]  loss=0.00907
  Epoch 4 [440/1063]  loss=0.00696
  Epoch 4 [460/1063]  loss=0.00746
  Epoch 4 [480/1063]  loss=0.00699
  Epoch 4 [500/1063]  loss=0.00724
  Epoch 4 [520/1063]  loss=0.00913
  Epoch 4 [540/1063]  loss=0.00798
  Epoch 4 [560/1063]  loss=0.00622
  Epoch 4 [580/1063]  loss=0.00844
  Epoch 4 [600/1063]  loss=0.00823
  Epoch 4 [620/1063]  loss=0.00554
  Epoch 4 [640/1063]  loss=0.00656
  Epoch 4 [660/1063]  loss=0.00615
  Epoch 4 [680/1063]  loss=0.00585
  Epoch 4 [700/1063]  loss=0.00616
  Epoch 4 [720/1063]  loss=0.00707
  Epoch 4 [740/1063]  loss=0.00709
  Epoch 4 [760/1063]  loss=0.00754
  Epoch 4 [780/1063]  loss=0.00565
  Epoch 4 [800/1063]  loss=0.00978
  Epoch 4 [820/1063]  loss=0.00799
  Epoch 4 [840/1063]  loss=0.00612
  Epoch 4 [860/1063]  loss=0.00697
  Epoch 4 [880/1063]  loss=0.00598
  Epoch 4 [900/1063]  loss=0.00704
  Epoch 4 [920/1063]  loss=0.00663
  Epoch 4 [940/1063]  loss=0.00629
  Epoch 4 [960/1063]  loss=0.00523
  Epoch 4 [980/1063]  loss=0.00638
  Epoch 4 [1000/1063]  loss=0.00686
  Epoch 4 [1020/1063]  loss=0.00623
  Epoch 4 [1040/1063]  loss=0.00627
  Epoch 4 [1060/1063]  loss=0.00809
  Train loss: 0.00724 | Val loss: 0.05547 | Val RMSE: 0.23162 | Val MAE: 0.15877
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 5/6  LR=2.88e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 5 [20/1063]  loss=0.00630
  Epoch 5 [40/1063]  loss=0.00602
  Epoch 5 [60/1063]  loss=0.00799
  Epoch 5 [80/1063]  loss=0.00604
  Epoch 5 [100/1063]  loss=0.00704
  Epoch 5 [120/1063]  loss=0.00650
  Epoch 5 [140/1063]  loss=0.00504
  Epoch 5 [160/1063]  loss=0.00665
  Epoch 5 [180/1063]  loss=0.00556
  Epoch 5 [200/1063]  loss=0.00558
  Epoch 5 [220/1063]  loss=0.00676
  Epoch 5 [240/1063]  loss=0.00662
