
──────────────────────────────────────────────────
Epoch 1/6  LR=1.00e-03
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 1 [20/1063]  loss=0.31479
  Epoch 1 [40/1063]  loss=0.13105
  Epoch 1 [60/1063]  loss=0.06288
  Epoch 1 [80/1063]  loss=0.06578
  Epoch 1 [100/1063]  loss=0.05800
  Epoch 1 [120/1063]  loss=0.03803
  Epoch 1 [140/1063]  loss=0.03750
  Epoch 1 [160/1063]  loss=0.03105
  Epoch 1 [180/1063]  loss=0.04075
  Epoch 1 [200/1063]  loss=0.02815
  Epoch 1 [220/1063]  loss=0.02908
  Epoch 1 [240/1063]  loss=0.03146
  Epoch 1 [260/1063]  loss=0.02802
  Epoch 1 [280/1063]  loss=0.03301
  Epoch 1 [300/1063]  loss=0.01663
  Epoch 1 [320/1063]  loss=0.02400
  Epoch 1 [340/1063]  loss=0.02377
  Epoch 1 [360/1063]  loss=0.02380
  Epoch 1 [380/1063]  loss=0.02062
  Epoch 1 [400/1063]  loss=0.01914
  Epoch 1 [420/1063]  loss=0.02079
  Epoch 1 [440/1063]  loss=0.02183
  Epoch 1 [460/1063]  loss=0.01962
  Epoch 1 [480/1063]  loss=0.01840
  Epoch 1 [500/1063]  loss=0.01643
  Epoch 1 [520/1063]  loss=0.02217
  Epoch 1 [540/1063]  loss=0.02104
  Epoch 1 [560/1063]  loss=0.01432
  Epoch 1 [580/1063]  loss=0.01539
  Epoch 1 [600/1063]  loss=0.01695
  Epoch 1 [620/1063]  loss=0.01554
  Epoch 1 [640/1063]  loss=0.01656
  Epoch 1 [660/1063]  loss=0.01572
  Epoch 1 [680/1063]  loss=0.01409
  Epoch 1 [700/1063]  loss=0.01744
  Epoch 1 [720/1063]  loss=0.01594
  Epoch 1 [740/1063]  loss=0.02104
  Epoch 1 [760/1063]  loss=0.01750
  Epoch 1 [780/1063]  loss=0.01249
  Epoch 1 [800/1063]  loss=0.01518
  Epoch 1 [820/1063]  loss=0.01387
  Epoch 1 [840/1063]  loss=0.01636
  Epoch 1 [860/1063]  loss=0.01638
  Epoch 1 [880/1063]  loss=0.01246
  Epoch 1 [900/1063]  loss=0.01271
  Epoch 1 [920/1063]  loss=0.01176
  Epoch 1 [940/1063]  loss=0.01154
  Epoch 1 [960/1063]  loss=0.01265
  Epoch 1 [980/1063]  loss=0.01161
  Epoch 1 [1000/1063]  loss=0.01508
  Epoch 1 [1020/1063]  loss=0.01126
  Epoch 1 [1040/1063]  loss=0.01276
  Epoch 1 [1060/1063]  loss=0.01498
  Train loss: 0.04681 | Val loss: 0.05397 | Val RMSE: 0.22974 | Val MAE: 0.16097
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 2/6  LR=9.36e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 2 [20/1063]  loss=0.01118
  Epoch 2 [40/1063]  loss=0.00972
  Epoch 2 [60/1063]  loss=0.01276
  Epoch 2 [80/1063]  loss=0.01209
  Epoch 2 [100/1063]  loss=0.01442
  Epoch 2 [120/1063]  loss=0.01068
  Epoch 2 [140/1063]  loss=0.00929
  Epoch 2 [160/1063]  loss=0.01091
  Epoch 2 [180/1063]  loss=0.01314
  Epoch 2 [200/1063]  loss=0.00908
  Epoch 2 [220/1063]  loss=0.01161
  Epoch 2 [240/1063]  loss=0.01288
  Epoch 2 [260/1063]  loss=0.01296
  Epoch 2 [280/1063]  loss=0.01203
  Epoch 2 [300/1063]  loss=0.01056
  Epoch 2 [320/1063]  loss=0.00983
  Epoch 2 [340/1063]  loss=0.00844
  Epoch 2 [360/1063]  loss=0.00811
  Epoch 2 [380/1063]  loss=0.00887
  Epoch 2 [400/1063]  loss=0.01107
  Epoch 2 [420/1063]  loss=0.01229
  Epoch 2 [440/1063]  loss=0.00878
  Epoch 2 [460/1063]  loss=0.00792
  Epoch 2 [480/1063]  loss=0.01294
  Epoch 2 [500/1063]  loss=0.00917
  Epoch 2 [520/1063]  loss=0.00939
  Epoch 2 [540/1063]  loss=0.00762
  Epoch 2 [560/1063]  loss=0.00976
  Epoch 2 [580/1063]  loss=0.00841
  Epoch 2 [600/1063]  loss=0.00849
  Epoch 2 [620/1063]  loss=0.00985
  Epoch 2 [640/1063]  loss=0.00898
  Epoch 2 [660/1063]  loss=0.00828
  Epoch 2 [680/1063]  loss=0.00902
  Epoch 2 [700/1063]  loss=0.01462
  Epoch 2 [720/1063]  loss=0.00963
  Epoch 2 [740/1063]  loss=0.00837
  Epoch 2 [760/1063]  loss=0.00970
  Epoch 2 [780/1063]  loss=0.01006
  Epoch 2 [800/1063]  loss=0.00784
  Epoch 2 [820/1063]  loss=0.01186
  Epoch 2 [840/1063]  loss=0.00982
  Epoch 2 [860/1063]  loss=0.01194
  Epoch 2 [880/1063]  loss=0.00813
  Epoch 2 [900/1063]  loss=0.00822
  Epoch 2 [920/1063]  loss=0.01012
  Epoch 2 [940/1063]  loss=0.00839
  Epoch 2 [960/1063]  loss=0.00740
  Epoch 2 [980/1063]  loss=0.01058
  Epoch 2 [1000/1063]  loss=0.00776
  Epoch 2 [1020/1063]  loss=0.00887
  Epoch 2 [1040/1063]  loss=0.01072
  Epoch 2 [1060/1063]  loss=0.00744
  Train loss: 0.01023 | Val loss: 0.05347 | Val RMSE: 0.22883 | Val MAE: 0.16063
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 3/6  LR=7.63e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 3 [20/1063]  loss=0.00739
  Epoch 3 [40/1063]  loss=0.00823
  Epoch 3 [60/1063]  loss=0.00824
  Epoch 3 [80/1063]  loss=0.00858
  Epoch 3 [100/1063]  loss=0.00665
  Epoch 3 [120/1063]  loss=0.00998
  Epoch 3 [140/1063]  loss=0.00794
  Epoch 3 [160/1063]  loss=0.00666
  Epoch 3 [180/1063]  loss=0.00760
  Epoch 3 [200/1063]  loss=0.00778
  Epoch 3 [220/1063]  loss=0.00699
  Epoch 3 [240/1063]  loss=0.00899
  Epoch 3 [260/1063]  loss=0.00707
  Epoch 3 [280/1063]  loss=0.00566
  Epoch 3 [300/1063]  loss=0.00683
  Epoch 3 [320/1063]  loss=0.00704
  Epoch 3 [340/1063]  loss=0.00761
  Epoch 3 [360/1063]  loss=0.00671
  Epoch 3 [380/1063]  loss=0.00788
  Epoch 3 [400/1063]  loss=0.00651
  Epoch 3 [420/1063]  loss=0.00730
  Epoch 3 [440/1063]  loss=0.00889
  Epoch 3 [460/1063]  loss=0.00680
  Epoch 3 [480/1063]  loss=0.00757
  Epoch 3 [500/1063]  loss=0.00680
  Epoch 3 [520/1063]  loss=0.00791
  Epoch 3 [540/1063]  loss=0.00691
  Epoch 3 [560/1063]  loss=0.00818
  Epoch 3 [580/1063]  loss=0.00739
  Epoch 3 [600/1063]  loss=0.00917
  Epoch 3 [620/1063]  loss=0.00708
  Epoch 3 [640/1063]  loss=0.00660
  Epoch 3 [660/1063]  loss=0.00768
  Epoch 3 [680/1063]  loss=0.00689
  Epoch 3 [700/1063]  loss=0.01448
  Epoch 3 [720/1063]  loss=0.00763
  Epoch 3 [740/1063]  loss=0.00793
  Epoch 3 [760/1063]  loss=0.00727
  Epoch 3 [780/1063]  loss=0.00929
  Epoch 3 [800/1063]  loss=0.00658
  Epoch 3 [820/1063]  loss=0.00771
  Epoch 3 [840/1063]  loss=0.00766
  Epoch 3 [860/1063]  loss=0.00626
  Epoch 3 [880/1063]  loss=0.00899
  Epoch 3 [900/1063]  loss=0.00693
  Epoch 3 [920/1063]  loss=0.00604
  Epoch 3 [940/1063]  loss=0.00736
  Epoch 3 [960/1063]  loss=0.00743
  Epoch 3 [980/1063]  loss=0.00661
  Epoch 3 [1000/1063]  loss=0.00824
  Epoch 3 [1020/1063]  loss=0.00749
  Epoch 3 [1040/1063]  loss=0.00788
  Epoch 3 [1060/1063]  loss=0.00814
  Train loss: 0.00768 | Val loss: 0.04632 | Val RMSE: 0.21176 | Val MAE: 0.14552
  ⭐  Best model saved.

──────────────────────────────────────────────────
Epoch 4/6  LR=5.25e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 4 [20/1063]  loss=0.00756
  Epoch 4 [40/1063]  loss=0.00714
  Epoch 4 [60/1063]  loss=0.00536
  Epoch 4 [80/1063]  loss=0.00992
  Epoch 4 [100/1063]  loss=0.00716
  Epoch 4 [120/1063]  loss=0.00646
  Epoch 4 [140/1063]  loss=0.00603
  Epoch 4 [160/1063]  loss=0.00626
  Epoch 4 [180/1063]  loss=0.00687
  Epoch 4 [200/1063]  loss=0.00722
  Epoch 4 [220/1063]  loss=0.00616
  Epoch 4 [240/1063]  loss=0.00674
  Epoch 4 [260/1063]  loss=0.00544
  Epoch 4 [280/1063]  loss=0.00635
  Epoch 4 [300/1063]  loss=0.00762
  Epoch 4 [320/1063]  loss=0.00656
  Epoch 4 [340/1063]  loss=0.00632
  Epoch 4 [360/1063]  loss=0.00685
  Epoch 4 [380/1063]  loss=0.00512
  Epoch 4 [400/1063]  loss=0.00580
  Epoch 4 [420/1063]  loss=0.00614
  Epoch 4 [440/1063]  loss=0.00536
  Epoch 4 [460/1063]  loss=0.00731
  Epoch 4 [480/1063]  loss=0.00494
  Epoch 4 [500/1063]  loss=0.00792
  Epoch 4 [520/1063]  loss=0.00635
  Epoch 4 [540/1063]  loss=0.00579
  Epoch 4 [560/1063]  loss=0.00609
  Epoch 4 [580/1063]  loss=0.00633
  Epoch 4 [600/1063]  loss=0.00737
  Epoch 4 [620/1063]  loss=0.00640
  Epoch 4 [640/1063]  loss=0.00632
  Epoch 4 [660/1063]  loss=0.00549
  Epoch 4 [680/1063]  loss=0.00845
  Epoch 4 [700/1063]  loss=0.00670
  Epoch 4 [720/1063]  loss=0.00544
  Epoch 4 [740/1063]  loss=0.00633
  Epoch 4 [760/1063]  loss=0.00649
  Epoch 4 [780/1063]  loss=0.00583
  Epoch 4 [800/1063]  loss=0.00638
  Epoch 4 [820/1063]  loss=0.00578
  Epoch 4 [840/1063]  loss=0.00598
  Epoch 4 [860/1063]  loss=0.00540
  Epoch 4 [880/1063]  loss=0.00606
  Epoch 4 [900/1063]  loss=0.00541
  Epoch 4 [920/1063]  loss=0.00517
  Epoch 4 [940/1063]  loss=0.00619
  Epoch 4 [960/1063]  loss=0.00575
  Epoch 4 [980/1063]  loss=0.00477
  Epoch 4 [1000/1063]  loss=0.00672
  Epoch 4 [1020/1063]  loss=0.00642
  Epoch 4 [1040/1063]  loss=0.00588
  Epoch 4 [1060/1063]  loss=0.00622
  Train loss: 0.00636 | Val loss: 0.05175 | Val RMSE: 0.22489 | Val MAE: 0.15500

──────────────────────────────────────────────────
Epoch 5/6  LR=2.88e-04
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/utils/data/dataloader.py:692: UserWarning: 'pin_memory' argument is set as true but not supported on MPS now, device pinned memory won't be used.
  warnings.warn(warn_msg)
  Epoch 5 [20/1063]  loss=0.00491
  Epoch 5 [40/1063]  loss=0.00539
  Epoch 5 [60/1063]  loss=0.00544
  Epoch 5 [80/1063]  loss=0.00564
  Epoch 5 [100/1063]  loss=0.00483
  Epoch 5 [120/1063]  loss=0.00548
  Epoch 5 [140/1063]  loss=0.00460
  Epoch 5 [160/1063]  loss=0.00432
  Epoch 5 [180/1063]  loss=0.00590
  Epoch 5 [200/1063]  loss=0.00478
  Epoch 5 [220/1063]  loss=0.00498
  Epoch 5 [240/1063]  loss=0.00484
