/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

--- Epoch 1/6 ---
Epoch 1 [10/266] Loss: 0.345063
Epoch 1 [20/266] Loss: 0.149938
Epoch 1 [30/266] Loss: 0.111210
Epoch 1 [40/266] Loss: 0.084586
Epoch 1 [50/266] Loss: 0.068109
Epoch 1 [60/266] Loss: 0.070643
Epoch 1 [70/266] Loss: 0.062492
Epoch 1 [80/266] Loss: 0.049663
Epoch 1 [90/266] Loss: 0.043239
Epoch 1 [100/266] Loss: 0.040783
Epoch 1 [110/266] Loss: 0.037430
Epoch 1 [120/266] Loss: 0.033667
Epoch 1 [130/266] Loss: 0.036297
Epoch 1 [140/266] Loss: 0.038754
Epoch 1 [150/266] Loss: 0.032139
Epoch 1 [160/266] Loss: 0.033998
Epoch 1 [170/266] Loss: 0.026142
Epoch 1 [180/266] Loss: 0.029526
Epoch 1 [190/266] Loss: 0.029406
Epoch 1 [200/266] Loss: 0.026110
Epoch 1 [210/266] Loss: 0.024180
Epoch 1 [220/266] Loss: 0.026554
Epoch 1 [230/266] Loss: 0.024175
Epoch 1 [240/266] Loss: 0.023052
Epoch 1 [250/266] Loss: 0.022039
Epoch 1 [260/266] Loss: 0.021411
Train Loss: 0.071413 | Val Loss: 0.038305 | Val RMSE: 0.190233
⭐ Best Model Saved

--- Epoch 2/6 ---
Epoch 2 [10/266] Loss: 0.019903
Epoch 2 [20/266] Loss: 0.020624
Epoch 2 [30/266] Loss: 0.021135
Epoch 2 [40/266] Loss: 0.020261
Epoch 2 [50/266] Loss: 0.023861
Epoch 2 [60/266] Loss: 0.020759
Epoch 2 [70/266] Loss: 0.022815
Epoch 2 [80/266] Loss: 0.017266
Epoch 2 [90/266] Loss: 0.017271
Epoch 2 [100/266] Loss: 0.017216
Epoch 2 [110/266] Loss: 0.019260
Epoch 2 [120/266] Loss: 0.017680
Epoch 2 [130/266] Loss: 0.016363
Epoch 2 [140/266] Loss: 0.018364
Epoch 2 [150/266] Loss: 0.018758
Epoch 2 [160/266] Loss: 0.017993
Epoch 2 [170/266] Loss: 0.015452
Epoch 2 [180/266] Loss: 0.016272
Epoch 2 [190/266] Loss: 0.014956
Epoch 2 [200/266] Loss: 0.015086
Epoch 2 [210/266] Loss: 0.016650
Epoch 2 [220/266] Loss: 0.015963
Epoch 2 [230/266] Loss: 0.017546
Epoch 2 [240/266] Loss: 0.017353
Epoch 2 [250/266] Loss: 0.015754
Epoch 2 [260/266] Loss: 0.014399
Train Loss: 0.018216 | Val Loss: 0.053714 | Val RMSE: 0.225594

--- Epoch 3/6 ---
Epoch 3 [10/266] Loss: 0.013647
Epoch 3 [20/266] Loss: 0.014050
Epoch 3 [30/266] Loss: 0.013853
Epoch 3 [40/266] Loss: 0.013731
Epoch 3 [50/266] Loss: 0.014456
Epoch 3 [60/266] Loss: 0.013851
Epoch 3 [70/266] Loss: 0.013047
Epoch 3 [80/266] Loss: 0.012802
Epoch 3 [90/266] Loss: 0.012192
Epoch 3 [100/266] Loss: 0.013011
Epoch 3 [110/266] Loss: 0.013341
Epoch 3 [120/266] Loss: 0.011625
Epoch 3 [130/266] Loss: 0.011750
Epoch 3 [140/266] Loss: 0.010658
Epoch 3 [150/266] Loss: 0.013360
Epoch 3 [160/266] Loss: 0.014186
Epoch 3 [170/266] Loss: 0.010516
Epoch 3 [180/266] Loss: 0.012767
Epoch 3 [190/266] Loss: 0.011503
Epoch 3 [200/266] Loss: 0.012657
Epoch 3 [210/266] Loss: 0.011989
Epoch 3 [220/266] Loss: 0.015064
Epoch 3 [230/266] Loss: 0.010845
Epoch 3 [240/266] Loss: 0.012301
Epoch 3 [250/266] Loss: 0.012273
Epoch 3 [260/266] Loss: 0.010208
Train Loss: 0.012881 | Val Loss: 0.051524 | Val RMSE: 0.219612

--- Epoch 4/6 ---
Epoch 4 [10/266] Loss: 0.011053
Epoch 4 [20/266] Loss: 0.010623
Epoch 4 [30/266] Loss: 0.010383
Epoch 4 [40/266] Loss: 0.009713
Epoch 4 [50/266] Loss: 0.012086
Epoch 4 [60/266] Loss: 0.010261
Epoch 4 [70/266] Loss: 0.010923
Epoch 4 [80/266] Loss: 0.009369
Epoch 4 [90/266] Loss: 0.011594
Epoch 4 [100/266] Loss: 0.012301
Epoch 4 [110/266] Loss: 0.009499
Epoch 4 [120/266] Loss: 0.010363
Epoch 4 [130/266] Loss: 0.009706
Epoch 4 [140/266] Loss: 0.008131
Epoch 4 [150/266] Loss: 0.011288
Epoch 4 [160/266] Loss: 0.009717
Epoch 4 [170/266] Loss: 0.010034
Epoch 4 [180/266] Loss: 0.009261
Epoch 4 [190/266] Loss: 0.010114
Epoch 4 [200/266] Loss: 0.010491
Epoch 4 [210/266] Loss: 0.009533
Epoch 4 [220/266] Loss: 0.009288
Epoch 4 [230/266] Loss: 0.010389
Epoch 4 [240/266] Loss: 0.010772
Epoch 4 [250/266] Loss: 0.009553
Epoch 4 [260/266] Loss: 0.008941
Train Loss: 0.010453 | Val Loss: 0.049634 | Val RMSE: 0.216158

--- Epoch 5/6 ---
Epoch 5 [10/266] Loss: 0.008283
Epoch 5 [20/266] Loss: 0.008630
Epoch 5 [30/266] Loss: 0.008949
Epoch 5 [40/266] Loss: 0.008461
Epoch 5 [50/266] Loss: 0.009384
Epoch 5 [60/266] Loss: 0.007494
Epoch 5 [70/266] Loss: 0.009958
Epoch 5 [80/266] Loss: 0.008505
Epoch 5 [90/266] Loss: 0.009653
Epoch 5 [100/266] Loss: 0.009634
Epoch 5 [110/266] Loss: 0.008274
Epoch 5 [120/266] Loss: 0.009205
Epoch 5 [130/266] Loss: 0.008697
Epoch 5 [140/266] Loss: 0.008330
Epoch 5 [150/266] Loss: 0.007218
Epoch 5 [160/266] Loss: 0.008421
Epoch 5 [170/266] Loss: 0.007966
Epoch 5 [180/266] Loss: 0.007743
Epoch 5 [190/266] Loss: 0.008707
Epoch 5 [200/266] Loss: 0.009398
Epoch 5 [210/266] Loss: 0.007132
Epoch 5 [220/266] Loss: 0.008084
Epoch 5 [230/266] Loss: 0.007630
Epoch 5 [240/266] Loss: 0.008373
Epoch 5 [250/266] Loss: 0.009379
Epoch 5 [260/266] Loss: 0.007682
Train Loss: 0.008760 | Val Loss: 0.045002 | Val RMSE: 0.207931

--- Epoch 6/6 ---
Epoch 6 [10/266] Loss: 0.006813
Epoch 6 [20/266] Loss: 0.007411
Epoch 6 [30/266] Loss: 0.006738
Epoch 6 [40/266] Loss: 0.007247
Epoch 6 [50/266] Loss: 0.008347
Epoch 6 [60/266] Loss: 0.007765
Epoch 6 [70/266] Loss: 0.007501
Epoch 6 [80/266] Loss: 0.007138
Epoch 6 [90/266] Loss: 0.007363
Epoch 6 [100/266] Loss: 0.007781
Epoch 6 [110/266] Loss: 0.007225
Epoch 6 [120/266] Loss: 0.009070
Epoch 6 [130/266] Loss: 0.009897
Epoch 6 [140/266] Loss: 0.007237
Epoch 6 [150/266] Loss: 0.007443
Epoch 6 [160/266] Loss: 0.007850
Epoch 6 [170/266] Loss: 0.008367
Epoch 6 [180/266] Loss: 0.008096
Epoch 6 [190/266] Loss: 0.006816
Epoch 6 [200/266] Loss: 0.007631
Epoch 6 [210/266] Loss: 0.008162
Epoch 6 [220/266] Loss: 0.007881
Epoch 6 [230/266] Loss: 0.008171
Epoch 6 [240/266] Loss: 0.007366
Epoch 6 [250/266] Loss: 0.006754
Epoch 6 [260/266] Loss: 0.006845
Train Loss: 0.007837 | Val Loss: 0.042459 | Val RMSE: 0.201085

── Final evaluation on TEST set ──
Test Loss: 0.216608 | Test RMSE: 0.446564
