Input size  : 16
Output size : 1
Horizon H   : 10 steps  (mode: seq2seq future)
Target shape: (1, 10)
/opt/miniconda3/envs/handout/lib/python3.12/site-packages/torch/nn/utils/weight_norm.py:144: FutureWarning: `torch.nn.utils.weight_norm` is deprecated in favor of `torch.nn.utils.parametrizations.weight_norm`.
  WeightNorm.apply(module, name, dim)

--- Epoch 1/6 ---
Epoch 1 [10/2283] Loss: 1.302608  RMSE: 0.3896 Nm/kg
Epoch 1 [20/2283] Loss: 1.577432  RMSE: 0.4682 Nm/kg
Epoch 1 [30/2283] Loss: 1.282561  RMSE: 0.4731 Nm/kg
Epoch 1 [40/2283] Loss: 1.713472  RMSE: 0.6113 Nm/kg
Epoch 1 [50/2283] Loss: 1.401681  RMSE: 0.5708 Nm/kg
Epoch 1 [60/2283] Loss: 1.405264  RMSE: 0.4545 Nm/kg
Epoch 1 [70/2283] Loss: 1.282106  RMSE: 0.3725 Nm/kg
Epoch 1 [80/2283] Loss: 1.233081  RMSE: 0.3911 Nm/kg
Epoch 1 [90/2283] Loss: 1.287303  RMSE: 0.3129 Nm/kg
Epoch 1 [100/2283] Loss: 1.400441  RMSE: 0.3516 Nm/kg
Epoch 1 [110/2283] Loss: 1.524045  RMSE: 0.6056 Nm/kg
Epoch 1 [120/2283] Loss: 1.271879  RMSE: 0.4268 Nm/kg
Epoch 1 [130/2283] Loss: 1.382668  RMSE: 0.4642 Nm/kg
Epoch 1 [140/2283] Loss: 1.180533  RMSE: 0.4768 Nm/kg
Epoch 1 [150/2283] Loss: 1.352839  RMSE: 0.3851 Nm/kg
Epoch 1 [160/2283] Loss: 1.282013  RMSE: 0.4016 Nm/kg
Epoch 1 [170/2283] Loss: 1.166347  RMSE: 0.4379 Nm/kg
Epoch 1 [180/2283] Loss: 1.357212  RMSE: 0.3636 Nm/kg
Epoch 1 [190/2283] Loss: 1.100578  RMSE: 0.3191 Nm/kg
Epoch 1 [200/2283] Loss: 1.496570  RMSE: 0.6037 Nm/kg
Epoch 1 [210/2283] Loss: 1.692133  RMSE: 0.6268 Nm/kg
Epoch 1 [220/2283] Loss: 1.135255  RMSE: 0.3608 Nm/kg
Epoch 1 [230/2283] Loss: 1.572594  RMSE: 0.5492 Nm/kg
Epoch 1 [240/2283] Loss: 1.252502  RMSE: 0.4887 Nm/kg
Epoch 1 [250/2283] Loss: 1.253470  RMSE: 0.3722 Nm/kg
Epoch 1 [260/2283] Loss: 1.595158  RMSE: 0.5408 Nm/kg
Epoch 1 [270/2283] Loss: 1.282304  RMSE: 0.5214 Nm/kg
Epoch 1 [280/2283] Loss: 1.589306  RMSE: 0.5625 Nm/kg
Epoch 1 [290/2283] Loss: 1.648129  RMSE: 0.4362 Nm/kg
Epoch 1 [300/2283] Loss: 1.184007  RMSE: 0.4046 Nm/kg
Epoch 1 [310/2283] Loss: 1.502848  RMSE: 0.4929 Nm/kg
Epoch 1 [320/2283] Loss: 1.080081  RMSE: 0.3291 Nm/kg
Epoch 1 [330/2283] Loss: 1.412509  RMSE: 0.5171 Nm/kg
Epoch 1 [340/2283] Loss: 1.130653  RMSE: 0.3695 Nm/kg
Epoch 1 [350/2283] Loss: 1.087589  RMSE: 0.4075 Nm/kg
Epoch 1 [360/2283] Loss: 1.090621  RMSE: 0.3336 Nm/kg
Epoch 1 [370/2283] Loss: 1.046249  RMSE: 0.3510 Nm/kg
Epoch 1 [380/2283] Loss: 1.678400  RMSE: 0.5965 Nm/kg
Epoch 1 [390/2283] Loss: 1.321264  RMSE: 0.4583 Nm/kg
Epoch 1 [400/2283] Loss: 1.202891  RMSE: 0.3697 Nm/kg
Epoch 1 [410/2283] Loss: 1.285957  RMSE: 0.3855 Nm/kg
Epoch 1 [420/2283] Loss: 1.382661  RMSE: 0.4117 Nm/kg
Epoch 1 [430/2283] Loss: 1.307034  RMSE: 0.4033 Nm/kg
Epoch 1 [440/2283] Loss: 1.537732  RMSE: 0.6353 Nm/kg
Epoch 1 [450/2283] Loss: 1.258474  RMSE: 0.4441 Nm/kg
Epoch 1 [460/2283] Loss: 1.227157  RMSE: 0.4524 Nm/kg
Epoch 1 [470/2283] Loss: 1.387454  RMSE: 0.4652 Nm/kg
Epoch 1 [480/2283] Loss: 1.288058  RMSE: 0.4467 Nm/kg
Epoch 1 [490/2283] Loss: 1.567498  RMSE: 0.5831 Nm/kg
Epoch 1 [500/2283] Loss: 1.134238  RMSE: 0.4768 Nm/kg
Epoch 1 [510/2283] Loss: 1.142270  RMSE: 0.2618 Nm/kg
Epoch 1 [520/2283] Loss: 1.221610  RMSE: 0.4052 Nm/kg
Epoch 1 [530/2283] Loss: 1.441386  RMSE: 0.5073 Nm/kg
Epoch 1 [540/2283] Loss: 1.003620  RMSE: 0.2098 Nm/kg
Epoch 1 [550/2283] Loss: 1.167383  RMSE: 0.4985 Nm/kg
Epoch 1 [560/2283] Loss: 1.291333  RMSE: 0.5515 Nm/kg
Epoch 1 [570/2283] Loss: 1.082035  RMSE: 0.4078 Nm/kg
Epoch 1 [580/2283] Loss: 1.327259  RMSE: 0.4682 Nm/kg
Epoch 1 [590/2283] Loss: 1.406309  RMSE: 0.4950 Nm/kg
Epoch 1 [600/2283] Loss: 1.501755  RMSE: 0.5147 Nm/kg
Epoch 1 [610/2283] Loss: 1.060613  RMSE: 0.4355 Nm/kg
Epoch 1 [620/2283] Loss: 1.458557  RMSE: 0.4566 Nm/kg
Epoch 1 [630/2283] Loss: 1.201208  RMSE: 0.3933 Nm/kg
Epoch 1 [640/2283] Loss: 1.052262  RMSE: 0.3202 Nm/kg
Epoch 1 [650/2283] Loss: 1.304969  RMSE: 0.4267 Nm/kg
Epoch 1 [660/2283] Loss: 1.534303  RMSE: 0.6469 Nm/kg
Epoch 1 [670/2283] Loss: 1.224106  RMSE: 0.3749 Nm/kg
Epoch 1 [680/2283] Loss: 1.480716  RMSE: 0.4476 Nm/kg
Epoch 1 [690/2283] Loss: 1.236605  RMSE: 0.4010 Nm/kg
Epoch 1 [700/2283] Loss: 1.497460  RMSE: 0.5628 Nm/kg
Epoch 1 [710/2283] Loss: 1.762431  RMSE: 0.6619 Nm/kg
Epoch 1 [720/2283] Loss: 1.501189  RMSE: 0.6133 Nm/kg
Epoch 1 [730/2283] Loss: 1.223561  RMSE: 0.5385 Nm/kg
Epoch 1 [740/2283] Loss: 1.141474  RMSE: 0.4959 Nm/kg
Epoch 1 [750/2283] Loss: 1.019960  RMSE: 0.4494 Nm/kg
Epoch 1 [760/2283] Loss: 1.125084  RMSE: 0.3024 Nm/kg
Epoch 1 [770/2283] Loss: 1.516049  RMSE: 0.5963 Nm/kg
Epoch 1 [780/2283] Loss: 1.620589  RMSE: 0.5512 Nm/kg
Epoch 1 [790/2283] Loss: 1.215839  RMSE: 0.5025 Nm/kg
Epoch 1 [800/2283] Loss: 1.437152  RMSE: 0.4951 Nm/kg
Epoch 1 [810/2283] Loss: 0.948664  RMSE: 0.4432 Nm/kg
Epoch 1 [820/2283] Loss: 1.262774  RMSE: 0.2996 Nm/kg
Epoch 1 [830/2283] Loss: 1.034745  RMSE: 0.5221 Nm/kg
Epoch 1 [840/2283] Loss: 1.034730  RMSE: 0.3440 Nm/kg
Epoch 1 [850/2283] Loss: 1.290996  RMSE: 0.4504 Nm/kg
Epoch 1 [860/2283] Loss: 1.317648  RMSE: 0.4687 Nm/kg
Epoch 1 [870/2283] Loss: 1.731564  RMSE: 0.6061 Nm/kg
Epoch 1 [880/2283] Loss: 1.352099  RMSE: 0.4618 Nm/kg
Epoch 1 [890/2283] Loss: 1.388561  RMSE: 0.4676 Nm/kg
Epoch 1 [900/2283] Loss: 1.447513  RMSE: 0.5062 Nm/kg
Epoch 1 [910/2283] Loss: 1.519528  RMSE: 0.3736 Nm/kg
Epoch 1 [920/2283] Loss: 1.473217  RMSE: 0.5578 Nm/kg
Epoch 1 [930/2283] Loss: 1.184655  RMSE: 0.3527 Nm/kg
Epoch 1 [940/2283] Loss: 1.340534  RMSE: 0.4644 Nm/kg
Epoch 1 [950/2283] Loss: 1.251187  RMSE: 0.5210 Nm/kg
Epoch 1 [960/2283] Loss: 1.327203  RMSE: 0.4445 Nm/kg
Epoch 1 [970/2283] Loss: 1.320690  RMSE: 0.5137 Nm/kg
Epoch 1 [980/2283] Loss: 1.146262  RMSE: 0.2659 Nm/kg
Epoch 1 [990/2283] Loss: 1.402604  RMSE: 0.4577 Nm/kg
Epoch 1 [1000/2283] Loss: 1.177235  RMSE: 0.3737 Nm/kg
Epoch 1 [1010/2283] Loss: 1.245269  RMSE: 0.4593 Nm/kg
Epoch 1 [1020/2283] Loss: 1.273767  RMSE: 0.4122 Nm/kg
Epoch 1 [1030/2283] Loss: 1.231498  RMSE: 0.5021 Nm/kg
Epoch 1 [1040/2283] Loss: 1.095726  RMSE: 0.3799 Nm/kg
Epoch 1 [1050/2283] Loss: 1.174435  RMSE: 0.4265 Nm/kg
Epoch 1 [1060/2283] Loss: 1.285044  RMSE: 0.3449 Nm/kg
Epoch 1 [1070/2283] Loss: 1.093895  RMSE: 0.4920 Nm/kg
Epoch 1 [1080/2283] Loss: 1.087418  RMSE: 0.3317 Nm/kg
Epoch 1 [1090/2283] Loss: 0.998994  RMSE: 0.2824 Nm/kg
Epoch 1 [1100/2283] Loss: 1.171198  RMSE: 0.4876 Nm/kg
Epoch 1 [1110/2283] Loss: 1.117834  RMSE: 0.3917 Nm/kg
Epoch 1 [1120/2283] Loss: 1.232705  RMSE: 0.5205 Nm/kg
Epoch 1 [1130/2283] Loss: 1.242671  RMSE: 0.3387 Nm/kg
Epoch 1 [1140/2283] Loss: 1.161946  RMSE: 0.3236 Nm/kg
Epoch 1 [1150/2283] Loss: 1.053812  RMSE: 0.5407 Nm/kg
Epoch 1 [1160/2283] Loss: 1.186085  RMSE: 0.4413 Nm/kg
Epoch 1 [1170/2283] Loss: 1.005602  RMSE: 0.3483 Nm/kg
Epoch 1 [1180/2283] Loss: 1.478433  RMSE: 0.4567 Nm/kg
Epoch 1 [1190/2283] Loss: 1.324626  RMSE: 0.4460 Nm/kg
Epoch 1 [1200/2283] Loss: 1.247152  RMSE: 0.3541 Nm/kg
Epoch 1 [1210/2283] Loss: 1.113900  RMSE: 0.5055 Nm/kg
Epoch 1 [1220/2283] Loss: 0.967973  RMSE: 0.3944 Nm/kg
Epoch 1 [1230/2283] Loss: 0.973765  RMSE: 0.3283 Nm/kg
Epoch 1 [1240/2283] Loss: 1.157099  RMSE: 0.4375 Nm/kg
Epoch 1 [1250/2283] Loss: 1.067942  RMSE: 0.4897 Nm/kg
Epoch 1 [1260/2283] Loss: 1.395539  RMSE: 0.4403 Nm/kg
Epoch 1 [1270/2283] Loss: 1.176608  RMSE: 0.4613 Nm/kg
Epoch 1 [1280/2283] Loss: 1.356186  RMSE: 0.4513 Nm/kg
Epoch 1 [1290/2283] Loss: 0.963174  RMSE: 0.4695 Nm/kg
Epoch 1 [1300/2283] Loss: 1.553405  RMSE: 0.5999 Nm/kg
Epoch 1 [1310/2283] Loss: 1.131582  RMSE: 0.5409 Nm/kg
Epoch 1 [1320/2283] Loss: 1.150237  RMSE: 0.3924 Nm/kg
Epoch 1 [1330/2283] Loss: 1.255537  RMSE: 0.4847 Nm/kg
Epoch 1 [1340/2283] Loss: 1.021784  RMSE: 0.4401 Nm/kg
Epoch 1 [1350/2283] Loss: 1.287293  RMSE: 0.4409 Nm/kg
Epoch 1 [1360/2283] Loss: 0.991273  RMSE: 0.3400 Nm/kg
Epoch 1 [1370/2283] Loss: 1.429423  RMSE: 0.4912 Nm/kg
Epoch 1 [1380/2283] Loss: 1.016736  RMSE: 0.4153 Nm/kg
Epoch 1 [1390/2283] Loss: 1.074449  RMSE: 0.3544 Nm/kg
Epoch 1 [1400/2283] Loss: 1.301273  RMSE: 0.4938 Nm/kg
Epoch 1 [1410/2283] Loss: 1.143671  RMSE: 0.4279 Nm/kg
Epoch 1 [1420/2283] Loss: 1.099483  RMSE: 0.3706 Nm/kg
Epoch 1 [1430/2283] Loss: 1.052218  RMSE: 0.3564 Nm/kg
Epoch 1 [1440/2283] Loss: 0.977350  RMSE: 0.4091 Nm/kg
Epoch 1 [1450/2283] Loss: 1.149189  RMSE: 0.3941 Nm/kg
Epoch 1 [1460/2283] Loss: 1.264513  RMSE: 0.4261 Nm/kg
Epoch 1 [1470/2283] Loss: 1.222449  RMSE: 0.4719 Nm/kg
Epoch 1 [1480/2283] Loss: 1.241107  RMSE: 0.3972 Nm/kg
Epoch 1 [1490/2283] Loss: 1.068788  RMSE: 0.4189 Nm/kg
Epoch 1 [1500/2283] Loss: 1.529158  RMSE: 0.5428 Nm/kg
Epoch 1 [1510/2283] Loss: 1.156081  RMSE: 0.3505 Nm/kg
Epoch 1 [1520/2283] Loss: 1.086003  RMSE: 0.3665 Nm/kg
Epoch 1 [1530/2283] Loss: 1.112969  RMSE: 0.4324 Nm/kg
Epoch 1 [1540/2283] Loss: 1.050495  RMSE: 0.3585 Nm/kg
Epoch 1 [1550/2283] Loss: 1.127850  RMSE: 0.5439 Nm/kg
Epoch 1 [1560/2283] Loss: 1.382733  RMSE: 0.4203 Nm/kg
Epoch 1 [1570/2283] Loss: 1.158464  RMSE: 0.5391 Nm/kg
Epoch 1 [1580/2283] Loss: 0.897260  RMSE: 0.3008 Nm/kg
Epoch 1 [1590/2283] Loss: 1.372494  RMSE: 0.4256 Nm/kg
Epoch 1 [1600/2283] Loss: 1.264922  RMSE: 0.4537 Nm/kg
Epoch 1 [1610/2283] Loss: 1.137749  RMSE: 0.3488 Nm/kg
Epoch 1 [1620/2283] Loss: 0.944517  RMSE: 0.2031 Nm/kg
Epoch 1 [1630/2283] Loss: 0.949504  RMSE: 0.3656 Nm/kg
Epoch 1 [1640/2283] Loss: 1.142143  RMSE: 0.3702 Nm/kg
Epoch 1 [1650/2283] Loss: 1.076740  RMSE: 0.3220 Nm/kg
Epoch 1 [1660/2283] Loss: 1.404750  RMSE: 0.4188 Nm/kg
Epoch 1 [1670/2283] Loss: 1.042254  RMSE: 0.4719 Nm/kg
Epoch 1 [1680/2283] Loss: 1.138451  RMSE: 0.3399 Nm/kg
Epoch 1 [1690/2283] Loss: 1.328884  RMSE: 0.4519 Nm/kg
Epoch 1 [1700/2283] Loss: 1.158124  RMSE: 0.4319 Nm/kg
Epoch 1 [1710/2283] Loss: 1.575634  RMSE: 0.6409 Nm/kg
